2015-01-12 09:28:45
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2996;-0,2996;-0,2996;0,0000;0,08072;-0,01652;-0,01652;-0,01652;-0,01652;0,0000;18,1;2015-01-12 09:28:45
Source Voltage;-0,2500;-0,2495;-0,2996;0,0000;0,0000;0,08072;-0,01636;-0,01652;-0,01636;-0,01644;0,0000;15,3;2015-01-12 09:28:46
Source Voltage;-0,2000;-0,1997;-0,2996;0,0000;0,0000;0,08072;-0,01616;-0,01652;-0,01616;-0,01635;0,0000;12,4;2015-01-12 09:28:46
Source Voltage;-0,1500;-0,1494;-0,2996;0,0000;0,0000;0,08072;-0,01594;-0,01652;-0,01594;-0,01625;0,0000;9,4;2015-01-12 09:28:47
Source Voltage;-0,1000;-0,0994;-0,2996;0,0000;0,0000;0,08072;-0,01566;-0,01652;-0,01566;-0,01613;0,0000;6,3;2015-01-12 09:28:48
Source Voltage;-0,0500;-0,0493;-0,2996;0,0000;0,0000;0,08072;-0,0153;-0,01652;-0,0153;-0,01599;0,0000;3,2;2015-01-12 09:28:48
Source Voltage;0,0000;0,0007;-0,2996;0,0000;0,0000;0,08072;-0,0149;-0,01652;-0,0149;-0,01583;0,0000;0;2015-01-12 09:28:49
Source Voltage;0,0500;0,0511;-0,2996;0,0000;0,0000;0,08072;-0,0144;-0,01652;-0,0144;-0,01565;0,0000;3,5;2015-01-12 09:28:49
Source Voltage;0,1000;0,1008;-0,2996;0,0000;0,0000;0,08072;-0,01376;-0,01652;-0,01376;-0,01544;0,0000;7,3;2015-01-12 09:28:50
Source Voltage;0,1500;0,1505;-0,2996;0,0000;0,0000;0,08072;-0,01292;-0,01652;-0,01292;-0,01519;0,0000;11,6;2015-01-12 09:28:51
Source Voltage;0,2000;0,2004;-0,2996;0,0000;0,0000;0,08072;-0,01188;-0,01652;-0,01188;-0,01489;0,0000;16,9;2015-01-12 09:28:51
Source Voltage;0,2500;0,2505;-0,2996;0,0000;0,0000;0,08072;-0,01056;-0,01652;-0,01056;-0,01453;0,0000;23,7;2015-01-12 09:28:52
Source Voltage;0,3000;0,3008;-0,2996;0,0000;0,0000;0,08072;-0,00892;-0,01652;-0,00892;-0,0141;0,0000;33,7;2015-01-12 09:28:52
Source Voltage;0,3500;0,3509;-0,2996;0,0000;0,0000;0,08072;-0,00692;-0,01652;-0,00692;-0,01359;0,0000;50,7;2015-01-12 09:28:53
Source Voltage;0,4000;0,4008;-0,2996;0,0000;0,0000;0,08072;-0,0044;-0,01652;-0,0044;-0,01298;0,0000;91,1;2015-01-12 09:28:54
Source Voltage;0,4500;0,4503;-0,2996;0,0000;0,0000;0,08072;-0,0013;-0,01652;-0,0013;-0,01225;0,0000;346,4;2015-01-12 09:28:54
Source Voltage;0,5000;0,5004;-0,2996;0,0000;0,0000;0,08072;0,00256;-0,01652;0,00256;-0,01138;0,0000;195,5;2015-01-12 09:28:55
Source Voltage;0,5500;0,5506;-0,2996;0,0000;0,0000;0,08072;0,0071;-0,01652;0,0071;-0,01035;0,0000;77,5;2015-01-12 09:28:55
Source Voltage;0,6000;0,6001;-0,2996;0,0000;0,0000;0,08072;0,0123;-0,01652;0,0123;-0,00916;0,0000;48,8;2015-01-12 09:28:56
