2015-01-12 11:28:46
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01878;-0,01878;-0,01878;-0,01878;0,0000;15,9;2015-01-12 11:28:46
Source Voltage;-0,2500;-0,2491;-0,2990;0,0000;0,0000;0,08072;-0,01874;-0,01878;-0,01874;-0,01876;0,0000;13,3;2015-01-12 11:28:47
Source Voltage;-0,2000;-0,1993;-0,2990;0,0000;0,0000;0,08072;-0,01864;-0,01878;-0,01864;-0,01872;0,0000;10,7;2015-01-12 11:28:48
Source Voltage;-0,1500;-0,1492;-0,2990;0,0000;0,0000;0,08072;-0,0186;-0,01878;-0,0186;-0,01869;0,0000;8;2015-01-12 11:28:48
Source Voltage;-0,1000;-0,0991;-0,2990;0,0000;0,0000;0,08072;-0,01852;-0,01878;-0,01852;-0,01866;0,0000;5,4;2015-01-12 11:28:49
Source Voltage;-0,0500;-0,0493;-0,2990;0,0000;0,0000;0,08072;-0,01844;-0,01878;-0,01844;-0,01862;0,0000;2,7;2015-01-12 11:28:49
Source Voltage;0,0000;0,0013;-0,2990;0,0000;0,0000;0,08072;-0,01832;-0,01878;-0,01832;-0,01858;0,0000;0,1;2015-01-12 11:28:50
Source Voltage;0,0500;0,0519;-0,2990;0,0000;0,0000;0,08072;-0,01812;-0,01878;-0,01812;-0,01852;0,0000;2,9;2015-01-12 11:28:51
Source Voltage;0,1000;0,1011;-0,2990;0,0000;0,0000;0,08072;-0,01794;-0,01878;-0,01794;-0,01846;0,0000;5,6;2015-01-12 11:28:51
Source Voltage;0,1500;0,1512;-0,2990;0,0000;0,0000;0,08072;-0,01758;-0,01878;-0,01758;-0,01837;0,0000;8,6;2015-01-12 11:28:52
Source Voltage;0,2000;0,2010;-0,2990;0,0000;0,0000;0,08072;-0,01708;-0,01878;-0,01708;-0,01825;0,0000;11,8;2015-01-12 11:28:52
Source Voltage;0,2500;0,2508;-0,2990;0,0000;0,0000;0,08072;-0,01628;-0,01878;-0,01628;-0,01809;0,0000;15,4;2015-01-12 11:28:53
Source Voltage;0,3000;0,3013;-0,2990;0,0000;0,0000;0,08072;-0,01514;-0,01878;-0,01514;-0,01786;0,0000;19,9;2015-01-12 11:28:54
Source Voltage;0,3500;0,3509;-0,2990;0,0000;0,0000;0,08072;-0,0134;-0,01878;-0,0134;-0,01754;0,0000;26,2;2015-01-12 11:28:54
Source Voltage;0,4000;0,4011;-0,2990;0,0000;0,0000;0,08072;-0,01084;-0,01878;-0,01084;-0,01709;0,0000;37;2015-01-12 11:28:55
Source Voltage;0,4500;0,4509;-0,2990;0,0000;0,0000;0,08072;-0,00748;-0,01878;-0,00748;-0,01649;0,0000;60,3;2015-01-12 11:28:55
Source Voltage;0,5000;0,5007;-0,2990;0,0000;0,0000;0,08072;-0,0032;-0,01878;-0,0032;-0,01571;0,0000;156,5;2015-01-12 11:28:56
Source Voltage;0,5500;0,5514;-0,2990;0,0000;0,0000;0,08072;0,00178;-0,01878;0,00178;-0,01474;0,0000;309,8;2015-01-12 11:28:57
Source Voltage;0,6000;0,6003;-0,2990;0,0000;0,0000;0,08072;0,00712;-0,01878;0,00712;-0,01359;0,0000;84,3;2015-01-12 11:28:57
