2015-01-12 11:46:53
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01428;-0,01428;-0,01428;-0,01428;0,0000;20,9;2015-01-12 11:46:54
Source Voltage;-0,2500;-0,2491;-0,2990;0,0000;0,0000;0,08072;-0,01394;-0,01428;-0,01394;-0,01411;0,0000;17,9;2015-01-12 11:46:54
Source Voltage;-0,2000;-0,1996;-0,2990;0,0000;0,0000;0,08072;-0,01372;-0,01428;-0,01372;-0,01398;0,0000;14,5;2015-01-12 11:46:55
Source Voltage;-0,1500;-0,1492;-0,2990;0,0000;0,0000;0,08072;-0,01348;-0,01428;-0,01348;-0,01386;0,0000;11,1;2015-01-12 11:46:55
Source Voltage;-0,1000;-0,0991;-0,2990;0,0000;0,0000;0,08072;-0,0133;-0,01428;-0,0133;-0,01375;0,0000;7,5;2015-01-12 11:46:56
Source Voltage;-0,0500;-0,0488;-0,2990;0,0000;0,0000;0,08072;-0,01308;-0,01428;-0,01308;-0,01364;0,0000;3,7;2015-01-12 11:46:57
Source Voltage;0,0000;0,0012;-0,2990;0,0000;0,0000;0,08072;-0,01286;-0,01428;-0,01286;-0,01353;0,0000;0,1;2015-01-12 11:46:57
Source Voltage;0,0500;0,0511;-0,2990;0,0000;0,0000;0,08072;-0,0126;-0,01428;-0,0126;-0,01341;0,0000;4,1;2015-01-12 11:46:58
Source Voltage;0,1000;0,1011;-0,2990;0,0000;0,0000;0,08072;-0,0122;-0,01428;-0,0122;-0,01328;0,0000;8,3;2015-01-12 11:46:58
Source Voltage;0,1500;0,1511;-0,2990;0,0000;0,0000;0,08072;-0,01166;-0,01428;-0,01166;-0,01312;0,0000;13;2015-01-12 11:46:59
Source Voltage;0,2000;0,2009;-0,2990;0,0000;0,0000;0,08072;-0,0109;-0,01428;-0,0109;-0,01292;0,0000;18,4;2015-01-12 11:47:00
Source Voltage;0,2500;0,2509;-0,2990;0,0000;0,0000;0,08072;-0,0097;-0,01428;-0,0097;-0,01265;0,0000;25,9;2015-01-12 11:47:00
Source Voltage;0,3000;0,3010;-0,2990;0,0000;0,0000;0,08072;-0,00798;-0,01428;-0,00798;-0,01229;0,0000;37,7;2015-01-12 11:47:01
Source Voltage;0,3500;0,3509;-0,2990;0,0000;0,0000;0,08072;-0,00552;-0,01428;-0,00552;-0,01181;0,0000;63,6;2015-01-12 11:47:01
Source Voltage;0,4000;0,4008;-0,2990;0,0000;0,0000;0,08072;-0,00212;-0,01428;-0,00212;-0,01116;0,0000;189,1;2015-01-12 11:47:02
Source Voltage;0,4500;0,4505;-0,2990;0,0000;0,0000;0,08072;0,0025;-0,01428;0,0025;-0,01031;0,0000;180,2;2015-01-12 11:47:03
Source Voltage;0,5000;0,5014;-0,2990;0,0000;0,0000;0,08072;0,00864;-0,01428;0,00864;-0,0092;0,0000;58;2015-01-12 11:47:03
Source Voltage;0,5500;0,5504;-0,2990;0,0000;0,0000;0,08072;0,01642;-0,01428;0,01642;-0,00778;0,0000;33,5;2015-01-12 11:47:04
Source Voltage;0,6000;0,6005;-0,2990;0,0000;0,0000;0,08072;0,02584;-0,01428;0,02584;-0,00601;0,0000;23,2;2015-01-12 11:47:04
