2015-01-12 11:42:09
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,01284;-0,01284;-0,01284;-0,01284;0,0000;23,3;2015-01-12 11:42:10
Source Voltage;-0,2500;-0,2493;-0,2992;0,0000;0,0000;0,08072;-0,01258;-0,01284;-0,01258;-0,01271;0,0000;19,8;2015-01-12 11:42:10
Source Voltage;-0,2000;-0,1992;-0,2992;0,0000;0,0000;0,08072;-0,0123;-0,01284;-0,0123;-0,01257;0,0000;16,2;2015-01-12 11:42:11
Source Voltage;-0,1500;-0,1490;-0,2992;0,0000;0,0000;0,08072;-0,01202;-0,01284;-0,01202;-0,01243;0,0000;12,4;2015-01-12 11:42:12
Source Voltage;-0,1000;-0,0989;-0,2992;0,0000;0,0000;0,08072;-0,0117;-0,01284;-0,0117;-0,01228;0,0000;8,5;2015-01-12 11:42:12
Source Voltage;-0,0500;-0,0486;-0,2992;0,0000;0,0000;0,08072;-0,01136;-0,01284;-0,01136;-0,01213;0,0000;4,3;2015-01-12 11:42:13
Source Voltage;0,0000;0,0012;-0,2992;0,0000;0,0000;0,08072;-0,01098;-0,01284;-0,01098;-0,01197;0,0000;0,1;2015-01-12 11:42:13
Source Voltage;0,0500;0,0511;-0,2992;0,0000;0,0000;0,08072;-0,01048;-0,01284;-0,01048;-0,01178;0,0000;4,9;2015-01-12 11:42:14
Source Voltage;0,1000;0,1010;-0,2992;0,0000;0,0000;0,08072;-0,00986;-0,01284;-0,00986;-0,01157;0,0000;10,2;2015-01-12 11:42:15
Source Voltage;0,1500;0,1509;-0,2992;0,0000;0,0000;0,08072;-0,00902;-0,01284;-0,00902;-0,01132;0,0000;16,7;2015-01-12 11:42:15
Source Voltage;0,2000;0,2007;-0,2992;0,0000;0,0000;0,08072;-0,00784;-0,01284;-0,00784;-0,011;0,0000;25,6;2015-01-12 11:42:16
Source Voltage;0,2500;0,2511;-0,2992;0,0000;0,0000;0,08072;-0,00618;-0,01284;-0,00618;-0,0106;0,0000;40,6;2015-01-12 11:42:16
Source Voltage;0,3000;0,3011;-0,2992;0,0000;0,0000;0,08072;-0,0039;-0,01284;-0,0039;-0,01008;0,0000;77,2;2015-01-12 11:42:17
Source Voltage;0,3500;0,3513;-0,2992;0,0000;0,0000;0,08072;-0,0009;-0,01284;-0,0009;-0,00942;0,0000;390,3;2015-01-12 11:42:18
Source Voltage;0,4000;0,4010;-0,2992;0,0000;0,0000;0,08072;0,0029;-0,01284;0,0029;-0,0086;0,0000;138,3;2015-01-12 11:42:18
Source Voltage;0,4500;0,4506;-0,2992;0,0000;0,0000;0,08072;0,00748;-0,01284;0,00748;-0,0076;0,0000;60,2;2015-01-12 11:42:19
Source Voltage;0,5000;0,5007;-0,2992;0,0000;0,0000;0,08072;0,01276;-0,01284;0,01276;-0,0064;0,0000;39,2;2015-01-12 11:42:19
Source Voltage;0,5500;0,5507;-0,2992;0,0000;0,0000;0,08072;0,01864;-0,01284;0,01864;-0,00501;0,0000;29,5;2015-01-12 11:42:20
Source Voltage;0,6000;0,6005;-0,2992;0,0000;0,0000;0,08072;0,0249;-0,01284;0,0249;-0,00344;0,0000;24,1;2015-01-12 11:42:21
