2015-01-12 08:29:48
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2994;-0,2994;-0,2994;0,0000;0,08072;-0,01172;-0,01172;-0,01172;-0,01172;0,0000;25,5;2015-01-12 08:29:49
Source Voltage;-0,2500;-0,2493;-0,2994;0,0000;0,0000;0,08072;-0,01152;-0,01172;-0,01152;-0,01162;0,0000;21,6;2015-01-12 08:29:50
Source Voltage;-0,2000;-0,1994;-0,2994;0,0000;0,0000;0,08072;-0,01136;-0,01172;-0,01136;-0,01153;0,0000;17,6;2015-01-12 08:29:50
Source Voltage;-0,1500;-0,1494;-0,2994;0,0000;0,0000;0,08072;-0,01112;-0,01172;-0,01112;-0,01143;0,0000;13,4;2015-01-12 08:29:51
Source Voltage;-0,1000;-0,0997;-0,2994;0,0000;0,0000;0,08072;-0,01086;-0,01172;-0,01086;-0,01132;0,0000;9,2;2015-01-12 08:29:51
Source Voltage;-0,0500;-0,0491;-0,2994;0,0000;0,0000;0,08072;-0,01054;-0,01172;-0,01054;-0,01119;0,0000;4,7;2015-01-12 08:29:52
Source Voltage;0,0000;0,0005;-0,2994;0,0000;0,0000;0,08072;-0,01012;-0,01172;-0,01012;-0,01104;0,0000;0;2015-01-12 08:29:53
Source Voltage;0,0500;0,0507;-0,2994;0,0000;0,0000;0,08072;-0,00958;-0,01172;-0,00958;-0,01086;0,0000;5,3;2015-01-12 08:29:53
Source Voltage;0,1000;0,1004;-0,2994;0,0000;0,0000;0,08072;-0,00884;-0,01172;-0,00884;-0,01064;0,0000;11,4;2015-01-12 08:29:54
Source Voltage;0,1500;0,1506;-0,2994;0,0000;0,0000;0,08072;-0,00786;-0,01172;-0,00786;-0,01036;0,0000;19,2;2015-01-12 08:29:54
Source Voltage;0,2000;0,2004;-0,2994;0,0000;0,0000;0,08072;-0,00652;-0,01172;-0,00652;-0,01001;0,0000;30,7;2015-01-12 08:29:55
Source Voltage;0,2500;0,2507;-0,2994;0,0000;0,0000;0,08072;-0,00472;-0,01172;-0,00472;-0,00957;0,0000;53,1;2015-01-12 08:29:56
Source Voltage;0,3000;0,3004;-0,2994;0,0000;0,0000;0,08072;-0,00238;-0,01172;-0,00238;-0,00902;0,0000;126,2;2015-01-12 08:29:56
Source Voltage;0,3500;0,3503;-0,2994;0,0000;0,0000;0,08072;0,00072;-0,01172;0,00072;-0,00832;0,0000;486,5;2015-01-12 08:29:57
Source Voltage;0,4000;0,4006;-0,2994;0,0000;0,0000;0,08072;0,00478;-0,01172;0,00478;-0,00745;0,0000;83,8;2015-01-12 08:29:57
Source Voltage;0,4500;0,4509;-0,2994;0,0000;0,0000;0,08072;0,01002;-0,01172;0,01002;-0,00636;0,0000;45;2015-01-12 08:29:58
Source Voltage;0,5000;0,5000;-0,2994;0,0000;0,0000;0,08072;0,01648;-0,01172;0,01648;-0,00502;0,0000;30,3;2015-01-12 08:29:59
Source Voltage;0,5500;0,5503;-0,2994;0,0000;0,0000;0,08072;0,02426;-0,01172;0,02426;-0,00339;0,0000;22,7;2015-01-12 08:29:59
Source Voltage;0,6000;0,6006;-0,2994;0,0000;0,0000;0,08072;0,03312;-0,01172;0,03312;-0,00147;0,0000;18,1;2015-01-12 08:30:00
