2015-01-12 09:29:49
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,01758;-0,01758;-0,01758;-0,01758;0,0000;17;2015-01-12 09:29:50
Source Voltage;-0,2500;-0,2496;-0,2993;0,0000;0,0000;0,08072;-0,01746;-0,01758;-0,01746;-0,01752;0,0000;14,3;2015-01-12 09:29:50
Source Voltage;-0,2000;-0,1996;-0,2993;0,0000;0,0000;0,08072;-0,0173;-0,01758;-0,0173;-0,01745;0,0000;11,5;2015-01-12 09:29:51
Source Voltage;-0,1500;-0,1493;-0,2993;0,0000;0,0000;0,08072;-0,01712;-0,01758;-0,01712;-0,01737;0,0000;8,7;2015-01-12 09:29:52
Source Voltage;-0,1000;-0,0992;-0,2993;0,0000;0,0000;0,08072;-0,01691;-0,01758;-0,01691;-0,01728;0,0000;5,9;2015-01-12 09:29:52
Source Voltage;-0,0500;-0,0491;-0,2993;0,0000;0,0000;0,08072;-0,01662;-0,01758;-0,01662;-0,01717;0,0000;3;2015-01-12 09:29:53
Source Voltage;0,0000;0,0009;-0,2993;0,0000;0,0000;0,08072;-0,01632;-0,01758;-0,01632;-0,01705;0,0000;0,1;2015-01-12 09:29:53
Source Voltage;0,0500;0,0509;-0,2993;0,0000;0,0000;0,08072;-0,0159;-0,01758;-0,0159;-0,01691;0,0000;3,2;2015-01-12 09:29:54
Source Voltage;0,1000;0,1006;-0,2993;0,0000;0,0000;0,08072;-0,0153;-0,01758;-0,0153;-0,01673;0,0000;6,6;2015-01-12 09:29:55
Source Voltage;0,1500;0,1509;-0,2993;0,0000;0,0000;0,08072;-0,01458;-0,01758;-0,01458;-0,01652;0,0000;10,3;2015-01-12 09:29:55
Source Voltage;0,2000;0,2009;-0,2993;0,0000;0,0000;0,08072;-0,01362;-0,01758;-0,01362;-0,01626;0,0000;14,8;2015-01-12 09:29:56
Source Voltage;0,2500;0,2507;-0,2993;0,0000;0,0000;0,08072;-0,01232;-0,01758;-0,01232;-0,01593;0,0000;20,3;2015-01-12 09:29:57
Source Voltage;0,3000;0,3007;-0,2993;0,0000;0,0000;0,08072;-0,01064;-0,01758;-0,01064;-0,01552;0,0000;28,3;2015-01-12 09:29:57
Source Voltage;0,3500;0,3506;-0,2993;0,0000;0,0000;0,08072;-0,00848;-0,01758;-0,00848;-0,01502;0,0000;41,3;2015-01-12 09:29:58
Source Voltage;0,4000;0,4006;-0,2993;0,0000;0,0000;0,08072;-0,00574;-0,01758;-0,00574;-0,0144;0,0000;69,8;2015-01-12 09:29:58
Source Voltage;0,4500;0,4508;-0,2993;0,0000;0,0000;0,08072;-0,00238;-0,01758;-0,00238;-0,01365;0,0000;189,4;2015-01-12 09:29:59
Source Voltage;0,5000;0,5008;-0,2993;0,0000;0,0000;0,08072;0,00164;-0,01758;0,00164;-0,01275;0,0000;305,4;2015-01-12 09:30:00
Source Voltage;0,5500;0,5510;-0,2993;0,0000;0,0000;0,08072;0,00628;-0,01758;0,00628;-0,01169;0,0000;87,7;2015-01-12 09:30:00
Source Voltage;0,6000;0,6005;-0,2993;0,0000;0,0000;0,08072;0,01136;-0,01758;0,01136;-0,01048;0,0000;52,9;2015-01-12 09:30:01
