2015-01-12 09:48:06
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01802;-0,01802;-0,01802;-0,01802;0,0000;16,6;2015-01-12 09:48:06
Source Voltage;-0,2500;-0,2495;-0,2990;0,0000;0,0000;0,08072;-0,01798;-0,01802;-0,01798;-0,018;0,0000;13,9;2015-01-12 09:48:07
Source Voltage;-0,2000;-0,1993;-0,2990;0,0000;0,0000;0,08072;-0,01788;-0,01802;-0,01788;-0,01796;0,0000;11,1;2015-01-12 09:48:08
Source Voltage;-0,1500;-0,1493;-0,2990;0,0000;0,0000;0,08072;-0,01777;-0,01802;-0,01777;-0,01791;0,0000;8,4;2015-01-12 09:48:08
Source Voltage;-0,1000;-0,0992;-0,2990;0,0000;0,0000;0,08072;-0,0176;-0,01802;-0,0176;-0,01785;0,0000;5,6;2015-01-12 09:48:09
Source Voltage;-0,0500;-0,0491;-0,2990;0,0000;0,0000;0,08072;-0,01742;-0,01802;-0,01742;-0,01778;0,0000;2,8;2015-01-12 09:48:09
Source Voltage;0,0000;0,0011;-0,2990;0,0000;0,0000;0,08072;-0,01718;-0,01802;-0,01718;-0,01769;0,0000;0,1;2015-01-12 09:48:10
Source Voltage;0,0500;0,0510;-0,2990;0,0000;0,0000;0,08072;-0,01688;-0,01802;-0,01688;-0,01759;0,0000;3;2015-01-12 09:48:11
Source Voltage;0,1000;0,1015;-0,2990;0,0000;0,0000;0,08072;-0,01644;-0,01802;-0,01644;-0,01746;0,0000;6,2;2015-01-12 09:48:11
Source Voltage;0,1500;0,1512;-0,2990;0,0000;0,0000;0,08072;-0,01582;-0,01802;-0,01582;-0,0173;0,0000;9,6;2015-01-12 09:48:12
Source Voltage;0,2000;0,2009;-0,2990;0,0000;0,0000;0,08072;-0,015;-0,01802;-0,015;-0,01709;0,0000;13,4;2015-01-12 09:48:12
Source Voltage;0,2500;0,2507;-0,2990;0,0000;0,0000;0,08072;-0,01386;-0,01802;-0,01386;-0,01682;0,0000;18,1;2015-01-12 09:48:13
Source Voltage;0,3000;0,3010;-0,2990;0,0000;0,0000;0,08072;-0,01226;-0,01802;-0,01226;-0,01647;0,0000;24,6;2015-01-12 09:48:14
Source Voltage;0,3500;0,3510;-0,2990;0,0000;0,0000;0,08072;-0,0101;-0,01802;-0,0101;-0,01601;0,0000;34,8;2015-01-12 09:48:14
Source Voltage;0,4000;0,4009;-0,2990;0,0000;0,0000;0,08072;-0,0073;-0,01802;-0,0073;-0,01543;0,0000;54,9;2015-01-12 09:48:15
Source Voltage;0,4500;0,4510;-0,2990;0,0000;0,0000;0,08072;-0,00374;-0,01802;-0,00374;-0,0147;0,0000;120,6;2015-01-12 09:48:15
Source Voltage;0,5000;0,5012;-0,2990;0,0000;0,0000;0,08072;0,00056;-0,01802;0,00056;-0,0138;0,0000;895;2015-01-12 09:48:16
Source Voltage;0,5500;0,5506;-0,2990;0,0000;0,0000;0,08072;0,00552;-0,01802;0,00552;-0,01273;0,0000;99,7;2015-01-12 09:48:17
Source Voltage;0,6000;0,6002;-0,2990;0,0000;0,0000;0,08072;0,01092;-0,01802;0,01092;-0,01149;0,0000;55;2015-01-12 09:48:17
