2015-01-12 11:19:46
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01809;-0,01809;-0,01809;-0,01809;0,0000;16,5;2015-01-12 11:19:47
Source Voltage;-0,2500;-0,2487;-0,2990;0,0000;0,0000;0,08072;-0,01795;-0,01809;-0,01795;-0,01802;0,0000;13,9;2015-01-12 11:19:48
Source Voltage;-0,2000;-0,1995;-0,2990;0,0000;0,0000;0,08072;-0,01793;-0,01809;-0,01793;-0,01799;0,0000;11,1;2015-01-12 11:19:48
Source Voltage;-0,1500;-0,1490;-0,2990;0,0000;0,0000;0,08072;-0,01778;-0,01809;-0,01778;-0,01794;0,0000;8,4;2015-01-12 11:19:49
Source Voltage;-0,1000;-0,0991;-0,2990;0,0000;0,0000;0,08072;-0,01764;-0,01809;-0,01764;-0,01788;0,0000;5,6;2015-01-12 11:19:49
Source Voltage;-0,0500;-0,0485;-0,2990;0,0000;0,0000;0,08072;-0,01748;-0,01809;-0,01748;-0,01781;0,0000;2,8;2015-01-12 11:19:50
Source Voltage;0,0000;0,0012;-0,2990;0,0000;0,0000;0,08072;-0,01725;-0,01809;-0,01725;-0,01773;0,0000;0,1;2015-01-12 11:19:51
Source Voltage;0,0500;0,0511;-0,2990;0,0000;0,0000;0,08072;-0,01692;-0,01809;-0,01692;-0,01763;0,0000;3;2015-01-12 11:19:51
Source Voltage;0,1000;0,1019;-0,2990;0,0000;0,0000;0,08072;-0,01648;-0,01809;-0,01648;-0,0175;0,0000;6,2;2015-01-12 11:19:52
Source Voltage;0,1500;0,1507;-0,2990;0,0000;0,0000;0,08072;-0,01586;-0,01809;-0,01586;-0,01734;0,0000;9,5;2015-01-12 11:19:52
Source Voltage;0,2000;0,2010;-0,2990;0,0000;0,0000;0,08072;-0,01506;-0,01809;-0,01506;-0,01713;0,0000;13,3;2015-01-12 11:19:53
Source Voltage;0,2500;0,2507;-0,2990;0,0000;0,0000;0,08072;-0,01392;-0,01809;-0,01392;-0,01686;0,0000;18;2015-01-12 11:19:54
Source Voltage;0,3000;0,3007;-0,2990;0,0000;0,0000;0,08072;-0,01234;-0,01809;-0,01234;-0,01651;0,0000;24,4;2015-01-12 11:19:54
Source Voltage;0,3500;0,3510;-0,2990;0,0000;0,0000;0,08072;-0,0103;-0,01809;-0,0103;-0,01607;0,0000;34,1;2015-01-12 11:19:55
Source Voltage;0,4000;0,4009;-0,2990;0,0000;0,0000;0,08072;-0,0076;-0,01809;-0,0076;-0,01551;0,0000;52,8;2015-01-12 11:19:55
Source Voltage;0,4500;0,4506;-0,2990;0,0000;0,0000;0,08072;-0,00426;-0,01809;-0,00426;-0,01481;0,0000;105,8;2015-01-12 11:19:56
Source Voltage;0,5000;0,5007;-0,2990;0,0000;0,0000;0,08072;-0,00015;-0,01809;-0,00015;-0,01395;0,0000;3338;2015-01-12 11:19:57
Source Voltage;0,5500;0,5507;-0,2990;0,0000;0,0000;0,08072;0,00454;-0,01809;0,00454;-0,01292;0,0000;121,3;2015-01-12 11:19:57
Source Voltage;0,6000;0,6013;-0,2990;0,0000;0,0000;0,08072;0,00971;-0,01809;0,00971;-0,01173;0,0000;61,9;2015-01-12 11:19:58
