2015-01-12 08:44:35
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,01448;-0,01448;-0,01448;-0,01448;0,0000;20,7;2015-01-12 08:44:36
Source Voltage;-0,2500;-0,2499;-0,2992;0,0000;0,0000;0,08072;-0,01438;-0,01448;-0,01438;-0,01443;0,0000;17,4;2015-01-12 08:44:37
Source Voltage;-0,2000;-0,1992;-0,2992;0,0000;0,0000;0,08072;-0,01426;-0,01448;-0,01426;-0,01437;0,0000;14;2015-01-12 08:44:37
Source Voltage;-0,1500;-0,1495;-0,2992;0,0000;0,0000;0,08072;-0,01412;-0,01448;-0,01412;-0,01431;0,0000;10,6;2015-01-12 08:44:38
Source Voltage;-0,1000;-0,0995;-0,2992;0,0000;0,0000;0,08072;-0,01396;-0,01448;-0,01396;-0,01424;0,0000;7,1;2015-01-12 08:44:38
Source Voltage;-0,0500;-0,0498;-0,2992;0,0000;0,0000;0,08072;-0,0138;-0,01448;-0,0138;-0,01417;0,0000;3,6;2015-01-12 08:44:39
Source Voltage;0,0000;0,0012;-0,2992;0,0000;0,0000;0,08072;-0,0136;-0,01448;-0,0136;-0,01409;0,0000;0,1;2015-01-12 08:44:40
Source Voltage;0,0500;0,0506;-0,2992;0,0000;0,0000;0,08072;-0,01334;-0,01448;-0,01334;-0,014;0,0000;3,8;2015-01-12 08:44:40
Source Voltage;0,1000;0,1007;-0,2992;0,0000;0,0000;0,08072;-0,01294;-0,01448;-0,01294;-0,01388;0,0000;7,8;2015-01-12 08:44:41
Source Voltage;0,1500;0,1504;-0,2992;0,0000;0,0000;0,08072;-0,01242;-0,01448;-0,01242;-0,01373;0,0000;12,1;2015-01-12 08:44:41
Source Voltage;0,2000;0,2004;-0,2992;0,0000;0,0000;0,08072;-0,01166;-0,01448;-0,01166;-0,01354;0,0000;17,2;2015-01-12 08:44:42
Source Voltage;0,2500;0,2505;-0,2992;0,0000;0,0000;0,08072;-0,01066;-0,01448;-0,01066;-0,0133;0,0000;23,5;2015-01-12 08:44:43
Source Voltage;0,3000;0,3010;-0,2992;0,0000;0,0000;0,08072;-0,00916;-0,01448;-0,00916;-0,01298;0,0000;32,9;2015-01-12 08:44:43
Source Voltage;0,3500;0,3507;-0,2992;0,0000;0,0000;0,08072;-0,00712;-0,01448;-0,00712;-0,01256;0,0000;49,3;2015-01-12 08:44:44
Source Voltage;0,4000;0,4003;-0,2992;0,0000;0,0000;0,08072;-0,00436;-0,01448;-0,00436;-0,01201;0,0000;91,8;2015-01-12 08:44:44
Source Voltage;0,4500;0,4503;-0,2992;0,0000;0,0000;0,08072;-0,00068;-0,01448;-0,00068;-0,0113;0,0000;662,2;2015-01-12 08:44:45
Source Voltage;0,5000;0,5001;-0,2992;0,0000;0,0000;0,08072;0,00392;-0,01448;0,00392;-0,0104;0,0000;127,6;2015-01-12 08:44:46
Source Voltage;0,5500;0,5503;-0,2992;0,0000;0,0000;0,08072;0,00948;-0,01448;0,00948;-0,0093;0,0000;58;2015-01-12 08:44:46
Source Voltage;0,6000;0,6000;-0,2992;0,0000;0,0000;0,08072;0,01574;-0,01448;0,01574;-0,00798;0,0000;38,1;2015-01-12 08:44:47
