39.csv;0.2004;0.00566;0.0011343;0.31097;0.0090502;40.3026;1.2603
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
40.csv;0.2007;0.00784;0.0015735;0.36044;0.010951;39.8641;1.7483
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
41.csv;0.2509;0.00828;0.0020775;0.41531;0.011799;42.3969;2.3083
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
42.csv;0.2503;0.00894;0.0022377;0.4344;0.012646;40.734;2.4863
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
43.csv;0.3005;0.00778;0.0023379;0.44593;0.013174;39.7961;2.5977
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
44.csv;0.3004;0.00912;0.0027396;0.46527;0.014246;41.3328;3.0441
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
45.csv;0.3008;0.01064;0.0032005;0.48466;0.015211;43.4146;3.5561
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
46.csv;0.3004;0.012;0.0036048;0.49959;0.015844;45.5424;4.0053
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
47.csv;0.3014;0.0123;0.0037072;0.50148;0.015671;47.1745;4.1191
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
48.csv;0.301;0.0114;0.0034314;0.47999;0.014604;48.9527;3.8127
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
49.csv;0.3008;0.01046;0.0031464;0.47844;0.013689;48.041;3.496
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
50.csv;0.2509;0.00956;0.0023986;0.4156;0.012457;46.3291;2.6651
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
51.csv;0.2004;0.0041;0.00082164;0.29411;0.0075778;36.8658;0.91293
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
52.csv;0.2004;0.00586;0.0011743;0.30224;0.0097339;39.9175;1.3048
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
53.csv;0.2005;0.00704;0.0014115;0.33673;0.0101;41.5023;1.5684
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
54.csv;0.2507;0.00808;0.0020257;0.4017;0.01215;41.5035;2.2507
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
55.csv;0.2505;0.00873;0.0021869;0.43109;0.012505;40.566;2.4298
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
56.csv;0.2509;0.00973;0.0024413;0.44939;0.013887;39.1184;2.7125
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
57.csv;0.3006;0.00922;0.0027715;0.46383;0.01491;40.0755;3.0795
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
58.csv;0.3006;0.01016;0.0030541;0.47432;0.015732;40.9286;3.3934
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
59.csv;0.3005;0.011;0.0033055;0.484;0.016137;42.321;3.6728
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
60.csv;0.3006;0.01188;0.0035711;0.49586;0.016484;43.689;3.9679
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
61.csv;0.301;0.01278;0.0038468;0.5031;0.016651;45.9186;4.2742
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
62.csv;0.3509;0.01124;0.0039441;0.5046;0.015637;49.9869;4.3824
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
63.csv;0.3508;0.00986;0.0034589;0.48815;0.014189;49.939;3.8432
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
64.csv;0.3008;0.00994;0.00299;0.45839;0.012929;50.4487;3.3222
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
65.csv;0.2009;0.00436;0.00087592;0.30159;0.0080028;36.2917;0.97325
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
66.csv;0.2009;0.00582;0.0011692;0.30753;0.0095114;39.9737;1.2992
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
67.csv;0.2012;0.0076;0.0015291;0.35973;0.010559;40.2559;1.699
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
68.csv;0.251;0.00842;0.0021134;0.41468;0.012662;40.2492;2.3482
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
69.csv;0.2507;0.00904;0.0022663;0.44709;0.013181;38.4576;2.5181
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
70.csv;0.3008;0.00892;0.0026831;0.46548;0.014874;38.7538;2.9813
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
71.csv;0.3007;0.01008;0.0030311;0.47555;0.015821;40.2858;3.3678
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
72.csv;0.3007;0.01064;0.0031994;0.4795;0.016286;40.9693;3.5549
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
73.csv;0.3007;0.01098;0.0033017;0.48506;0.016293;41.7785;3.6685
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
74.csv;0.301;0.0114;0.0034314;0.49252;0.016447;42.3613;3.8127
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
75.csv;0.301;0.01256;0.0037806;0.49825;0.017148;44.2475;4.2006
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
76.csv;0.3513;0.01142;0.0040118;0.50848;0.016451;47.9613;4.4576
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
77.csv;0.3509;0.01058;0.0037125;0.50032;0.014702;50.4708;4.125
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
78.csv;0.3008;0.01074;0.0032306;0.47351;0.013402;50.9059;3.5895
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
79.csv;0.2004;0.00522;0.0010461;0.29648;0.0090054;39.1809;1.1623
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
80.csv;0.2005;0.00622;0.0012471;0.3103;0.0099865;40.2455;1.3857
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
