2015-01-12 11:21:08
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,013;-0,013;-0,013;-0,013;0,0000;23;2015-01-12 11:21:08
Source Voltage;-0,2500;-0,2495;-0,2990;0,0000;0,0000;0,08072;-0,01292;-0,013;-0,01292;-0,01296;0,0000;19,3;2015-01-12 11:21:09
Source Voltage;-0,2000;-0,1996;-0,2990;0,0000;0,0000;0,08072;-0,01284;-0,013;-0,01284;-0,01292;0,0000;15,5;2015-01-12 11:21:09
Source Voltage;-0,1500;-0,1494;-0,2990;0,0000;0,0000;0,08072;-0,01276;-0,013;-0,01276;-0,01288;0,0000;11,7;2015-01-12 11:21:10
Source Voltage;-0,1000;-0,0990;-0,2990;0,0000;0,0000;0,08072;-0,01268;-0,013;-0,01268;-0,01284;0,0000;7,8;2015-01-12 11:21:11
Source Voltage;-0,0500;-0,0488;-0,2990;0,0000;0,0000;0,08072;-0,01258;-0,013;-0,01258;-0,0128;0,0000;3,9;2015-01-12 11:21:11
Source Voltage;0,0000;0,0014;-0,2990;0,0000;0,0000;0,08072;-0,0125;-0,013;-0,0125;-0,01276;0,0000;0,1;2015-01-12 11:21:12
Source Voltage;0,0500;0,0512;-0,2990;0,0000;0,0000;0,08072;-0,01236;-0,013;-0,01236;-0,01271;0,0000;4,1;2015-01-12 11:21:12
Source Voltage;0,1000;0,1011;-0,2990;0,0000;0,0000;0,08072;-0,01218;-0,013;-0,01218;-0,01265;0,0000;8,3;2015-01-12 11:21:13
Source Voltage;0,1500;0,1509;-0,2990;0,0000;0,0000;0,08072;-0,012;-0,013;-0,012;-0,01258;0,0000;12,6;2015-01-12 11:21:14
Source Voltage;0,2000;0,2009;-0,2990;0,0000;0,0000;0,08072;-0,01166;-0,013;-0,01166;-0,0125;0,0000;17,2;2015-01-12 11:21:14
Source Voltage;0,2500;0,2512;-0,2990;0,0000;0,0000;0,08072;-0,0112;-0,013;-0,0112;-0,01239;0,0000;22,4;2015-01-12 11:21:15
Source Voltage;0,3000;0,3012;-0,2990;0,0000;0,0000;0,08072;-0,01036;-0,013;-0,01036;-0,01223;0,0000;29,1;2015-01-12 11:21:16
Source Voltage;0,3500;0,3509;-0,2990;0,0000;0,0000;0,08072;-0,00896;-0,013;-0,00896;-0,012;0,0000;39,2;2015-01-12 11:21:16
Source Voltage;0,4000;0,4009;-0,2990;0,0000;0,0000;0,08072;-0,00672;-0,013;-0,00672;-0,01165;0,0000;59,7;2015-01-12 11:21:17
Source Voltage;0,4500;0,4510;-0,2990;0,0000;0,0000;0,08072;-0,00334;-0,013;-0,00334;-0,01113;0,0000;135;2015-01-12 11:21:17
Source Voltage;0,5000;0,5006;-0,2990;0,0000;0,0000;0,08072;0,00154;-0,013;0,00154;-0,01038;0,0000;325,1;2015-01-12 11:21:18
Source Voltage;0,5500;0,5506;-0,2990;0,0000;0,0000;0,08072;0,00816;-0,013;0,00816;-0,00935;0,0000;67,5;2015-01-12 11:21:19
Source Voltage;0,6000;0,6005;-0,2990;0,0000;0,0000;0,08072;0,01648;-0,013;0,01648;-0,00799;0,0000;36,4;2015-01-12 11:21:19
