2015-01-12 09:34:21
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2994;-0,2994;-0,2994;0,0000;0,08072;-0,01624;-0,01624;-0,01624;-0,01624;0,0000;18,4;2015-01-12 09:34:22
Source Voltage;-0,2500;-0,2495;-0,2994;0,0000;0,0000;0,08072;-0,01607;-0,01624;-0,01607;-0,01615;0,0000;15,5;2015-01-12 09:34:22
Source Voltage;-0,2000;-0,1993;-0,2994;0,0000;0,0000;0,08072;-0,01594;-0,01624;-0,01594;-0,01608;0,0000;12,5;2015-01-12 09:34:23
Source Voltage;-0,1500;-0,1494;-0,2994;0,0000;0,0000;0,08072;-0,0157;-0,01624;-0,0157;-0,01598;0,0000;9,5;2015-01-12 09:34:24
Source Voltage;-0,1000;-0,0996;-0,2994;0,0000;0,0000;0,08072;-0,01548;-0,01624;-0,01548;-0,01588;0,0000;6,4;2015-01-12 09:34:24
Source Voltage;-0,0500;-0,0494;-0,2994;0,0000;0,0000;0,08072;-0,0152;-0,01624;-0,0152;-0,01577;0,0000;3,2;2015-01-12 09:34:25
Source Voltage;0,0000;0,0009;-0,2994;0,0000;0,0000;0,08072;-0,01482;-0,01624;-0,01482;-0,01563;0,0000;0,1;2015-01-12 09:34:25
Source Voltage;0,0500;0,0508;-0,2994;0,0000;0,0000;0,08072;-0,0144;-0,01624;-0,0144;-0,01548;0,0000;3,5;2015-01-12 09:34:26
Source Voltage;0,1000;0,1011;-0,2994;0,0000;0,0000;0,08072;-0,01378;-0,01624;-0,01378;-0,01529;0,0000;7,3;2015-01-12 09:34:27
Source Voltage;0,1500;0,1509;-0,2994;0,0000;0,0000;0,08072;-0,01304;-0,01624;-0,01304;-0,01506;0,0000;11,6;2015-01-12 09:34:27
Source Voltage;0,2000;0,2010;-0,2994;0,0000;0,0000;0,08072;-0,01202;-0,01624;-0,01202;-0,01478;0,0000;16,7;2015-01-12 09:34:28
Source Voltage;0,2500;0,2507;-0,2994;0,0000;0,0000;0,08072;-0,01074;-0,01624;-0,01074;-0,01444;0,0000;23,3;2015-01-12 09:34:28
Source Voltage;0,3000;0,3007;-0,2994;0,0000;0,0000;0,08072;-0,00918;-0,01624;-0,00918;-0,01404;0,0000;32,8;2015-01-12 09:34:29
Source Voltage;0,3500;0,3513;-0,2994;0,0000;0,0000;0,08072;-0,00712;-0,01624;-0,00712;-0,01355;0,0000;49,3;2015-01-12 09:34:30
Source Voltage;0,4000;0,4008;-0,2994;0,0000;0,0000;0,08072;-0,00457;-0,01624;-0,00457;-0,01295;0,0000;87,7;2015-01-12 09:34:30
Source Voltage;0,4500;0,4504;-0,2994;0,0000;0,0000;0,08072;-0,00132;-0,01624;-0,00132;-0,01222;0,0000;341,2;2015-01-12 09:34:31
Source Voltage;0,5000;0,5007;-0,2994;0,0000;0,0000;0,08072;0,00266;-0,01624;0,00266;-0,01134;0,0000;188,2;2015-01-12 09:34:31
Source Voltage;0,5500;0,5504;-0,2994;0,0000;0,0000;0,08072;0,00748;-0,01624;0,00748;-0,01029;0,0000;73,6;2015-01-12 09:34:32
Source Voltage;0,6000;0,6002;-0,2994;0,0000;0,0000;0,08072;0,0131;-0,01624;0,0131;-0,00906;0,0000;45,8;2015-01-12 09:34:33
