2015-01-12 11:37:29
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2988;-0,2988;-0,2988;0,0000;0,08072;-0,01625;-0,01625;-0,01625;-0,01625;0,0000;18,4;2015-01-12 11:37:29
Source Voltage;-0,2500;-0,2493;-0,2988;0,0000;0,0000;0,08072;-0,01618;-0,01625;-0,01618;-0,01622;0,0000;15,4;2015-01-12 11:37:30
Source Voltage;-0,2000;-0,1994;-0,2988;0,0000;0,0000;0,08072;-0,01612;-0,01625;-0,01612;-0,01619;0,0000;12,4;2015-01-12 11:37:30
Source Voltage;-0,1500;-0,1492;-0,2988;0,0000;0,0000;0,08072;-0,01602;-0,01625;-0,01602;-0,01615;0,0000;9,3;2015-01-12 11:37:31
Source Voltage;-0,1000;-0,0990;-0,2988;0,0000;0,0000;0,08072;-0,01598;-0,01625;-0,01598;-0,01612;0,0000;6,2;2015-01-12 11:37:32
Source Voltage;-0,0500;-0,0488;-0,2988;0,0000;0,0000;0,08072;-0,01588;-0,01625;-0,01588;-0,01608;0,0000;3,1;2015-01-12 11:37:32
Source Voltage;0,0000;0,0012;-0,2988;0,0000;0,0000;0,08072;-0,0158;-0,01625;-0,0158;-0,01604;0,0000;0,1;2015-01-12 11:37:33
Source Voltage;0,0500;0,0512;-0,2988;0,0000;0,0000;0,08072;-0,01568;-0,01625;-0,01568;-0,016;0,0000;3,3;2015-01-12 11:37:33
Source Voltage;0,1000;0,1013;-0,2988;0,0000;0,0000;0,08072;-0,0155;-0,01625;-0,0155;-0,01594;0,0000;6,5;2015-01-12 11:37:34
Source Voltage;0,1500;0,1508;-0,2988;0,0000;0,0000;0,08072;-0,01524;-0,01625;-0,01524;-0,01587;0,0000;9,9;2015-01-12 11:37:35
Source Voltage;0,2000;0,2009;-0,2988;0,0000;0,0000;0,08072;-0,01488;-0,01625;-0,01488;-0,01578;0,0000;13,5;2015-01-12 11:37:35
Source Voltage;0,2500;0,2510;-0,2988;0,0000;0,0000;0,08072;-0,0143;-0,01625;-0,0143;-0,01566;0,0000;17,6;2015-01-12 11:37:36
Source Voltage;0,3000;0,3014;-0,2988;0,0000;0,0000;0,08072;-0,01346;-0,01625;-0,01346;-0,01549;0,0000;22,4;2015-01-12 11:37:36
Source Voltage;0,3500;0,3510;-0,2988;0,0000;0,0000;0,08072;-0,01204;-0,01625;-0,01204;-0,01524;0,0000;29,2;2015-01-12 11:37:37
Source Voltage;0,4000;0,4010;-0,2988;0,0000;0,0000;0,08072;-0,00986;-0,01625;-0,00986;-0,01488;0,0000;40,7;2015-01-12 11:37:38
Source Voltage;0,4500;0,4509;-0,2988;0,0000;0,0000;0,08072;-0,00668;-0,01625;-0,00668;-0,01437;0,0000;67,5;2015-01-12 11:37:38
Source Voltage;0,5000;0,5007;-0,2988;0,0000;0,0000;0,08072;-0,00224;-0,01625;-0,00224;-0,01366;0,0000;223,5;2015-01-12 11:37:39
Source Voltage;0,5500;0,5508;-0,2988;0,0000;0,0000;0,08072;0,0034;-0,01625;0,0034;-0,01271;0,0000;162;2015-01-12 11:37:40
Source Voltage;0,6000;0,6006;-0,2988;0,0000;0,0000;0,08072;0,00998;-0,01625;0,00998;-0,01152;0,0000;60,2;2015-01-12 11:37:40
