2015-01-12 08:54:51
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2994;-0,2994;-0,2994;0,0000;0,08072;-0,01132;-0,01132;-0,01132;-0,01132;0,0000;26,4;2015-01-12 08:54:52
Source Voltage;-0,2500;-0,2499;-0,2994;0,0000;0,0000;0,08072;-0,0112;-0,01132;-0,0112;-0,01126;0,0000;22,3;2015-01-12 08:54:52
Source Voltage;-0,2000;-0,2000;-0,2994;0,0000;0,0000;0,08072;-0,011;-0,01132;-0,011;-0,01117;0,0000;18,2;2015-01-12 08:54:53
Source Voltage;-0,1500;-0,1495;-0,2994;0,0000;0,0000;0,08072;-0,01086;-0,01132;-0,01086;-0,01109;0,0000;13,8;2015-01-12 08:54:54
Source Voltage;-0,1000;-0,0997;-0,2994;0,0000;0,0000;0,08072;-0,01066;-0,01132;-0,01066;-0,011;0,0000;9,4;2015-01-12 08:54:54
Source Voltage;-0,0500;-0,0492;-0,2994;0,0000;0,0000;0,08072;-0,01044;-0,01132;-0,01044;-0,01091;0,0000;4,7;2015-01-12 08:54:55
Source Voltage;0,0000;0,0011;-0,2994;0,0000;0,0000;0,08072;-0,01012;-0,01132;-0,01012;-0,0108;0,0000;0,1;2015-01-12 08:54:55
Source Voltage;0,0500;0,0510;-0,2994;0,0000;0,0000;0,08072;-0,00972;-0,01132;-0,00972;-0,01066;0,0000;5,2;2015-01-12 08:54:56
Source Voltage;0,1000;0,1008;-0,2994;0,0000;0,0000;0,08072;-0,00913;-0,01132;-0,00913;-0,01049;0,0000;11;2015-01-12 08:54:57
Source Voltage;0,1500;0,1507;-0,2994;0,0000;0,0000;0,08072;-0,00831;-0,01132;-0,00831;-0,01027;0,0000;18,1;2015-01-12 08:54:57
Source Voltage;0,2000;0,2005;-0,2994;0,0000;0,0000;0,08072;-0,00704;-0,01132;-0,00704;-0,00998;0,0000;28,5;2015-01-12 08:54:58
Source Voltage;0,2500;0,2505;-0,2994;0,0000;0,0000;0,08072;-0,00524;-0,01132;-0,00524;-0,00959;0,0000;47,8;2015-01-12 08:54:58
Source Voltage;0,3000;0,3007;-0,2994;0,0000;0,0000;0,08072;-0,00272;-0,01132;-0,00272;-0,00906;0,0000;110,6;2015-01-12 08:54:59
Source Voltage;0,3500;0,3504;-0,2994;0,0000;0,0000;0,08072;0,00076;-0,01132;0,00076;-0,00836;0,0000;461,1;2015-01-12 08:55:00
Source Voltage;0,4000;0,4005;-0,2994;0,0000;0,0000;0,08072;0,00528;-0,01132;0,00528;-0,00745;0,0000;75,9;2015-01-12 08:55:00
Source Voltage;0,4500;0,4503;-0,2994;0,0000;0,0000;0,08072;0,0109;-0,01132;0,0109;-0,0063;0,0000;41,3;2015-01-12 08:55:01
Source Voltage;0,5000;0,5004;-0,2994;0,0000;0,0000;0,08072;0,01764;-0,01132;0,01764;-0,00489;0,0000;28,4;2015-01-12 08:55:01
Source Voltage;0,5500;0,5508;-0,2994;0,0000;0,0000;0,08072;0,02538;-0,01132;0,02538;-0,00321;0,0000;21,7;2015-01-12 08:55:02
Source Voltage;0,6000;0,5999;-0,2994;0,0000;0,0000;0,08072;0,03402;-0,01132;0,03402;-0,00125;0,0000;17,6;2015-01-12 08:55:03
