2015-01-12 08:45:00
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2997;-0,2997;-0,2997;0,0000;0,08072;-0,01462;-0,01462;-0,01462;-0,01462;0,0000;20,5;2015-01-12 08:45:00
Source Voltage;-0,2500;-0,2498;-0,2997;0,0000;0,0000;0,08072;-0,01448;-0,01462;-0,01448;-0,01455;0,0000;17,3;2015-01-12 08:45:01
Source Voltage;-0,2000;-0,1996;-0,2997;0,0000;0,0000;0,08072;-0,01444;-0,01462;-0,01444;-0,01451;0,0000;13,8;2015-01-12 08:45:02
Source Voltage;-0,1500;-0,1494;-0,2997;0,0000;0,0000;0,08072;-0,0143;-0,01462;-0,0143;-0,01446;0,0000;10,4;2015-01-12 08:45:02
Source Voltage;-0,1000;-0,0995;-0,2997;0,0000;0,0000;0,08072;-0,01418;-0,01462;-0,01418;-0,0144;0,0000;7;2015-01-12 08:45:03
Source Voltage;-0,0500;-0,0492;-0,2997;0,0000;0,0000;0,08072;-0,014;-0,01462;-0,014;-0,01433;0,0000;3,5;2015-01-12 08:45:03
Source Voltage;0,0000;0,0006;-0,2997;0,0000;0,0000;0,08072;-0,01386;-0,01462;-0,01386;-0,01426;0,0000;0;2015-01-12 08:45:04
Source Voltage;0,0500;0,0510;-0,2997;0,0000;0,0000;0,08072;-0,0136;-0,01462;-0,0136;-0,01418;0,0000;3,8;2015-01-12 08:45:05
Source Voltage;0,1000;0,1007;-0,2997;0,0000;0,0000;0,08072;-0,01332;-0,01462;-0,01332;-0,01408;0,0000;7,6;2015-01-12 08:45:05
Source Voltage;0,1500;0,1506;-0,2997;0,0000;0,0000;0,08072;-0,01286;-0,01462;-0,01286;-0,01396;0,0000;11,7;2015-01-12 08:45:06
Source Voltage;0,2000;0,2006;-0,2997;0,0000;0,0000;0,08072;-0,01224;-0,01462;-0,01224;-0,0138;0,0000;16,4;2015-01-12 08:45:07
Source Voltage;0,2500;0,2504;-0,2997;0,0000;0,0000;0,08072;-0,01138;-0,01462;-0,01138;-0,0136;0,0000;22;2015-01-12 08:45:07
Source Voltage;0,3000;0,3004;-0,2997;0,0000;0,0000;0,08072;-0,01006;-0,01462;-0,01006;-0,01333;0,0000;29,9;2015-01-12 08:45:08
Source Voltage;0,3500;0,3506;-0,2997;0,0000;0,0000;0,08072;-0,00822;-0,01462;-0,00822;-0,01297;0,0000;42,7;2015-01-12 08:45:08
Source Voltage;0,4000;0,4003;-0,2997;0,0000;0,0000;0,08072;-0,00562;-0,01462;-0,00562;-0,01248;0,0000;71,2;2015-01-12 08:45:09
Source Voltage;0,4500;0,4504;-0,2997;0,0000;0,0000;0,08072;-0,00214;-0,01462;-0,00214;-0,01183;0,0000;210,5;2015-01-12 08:45:10
Source Voltage;0,5000;0,5002;-0,2997;0,0000;0,0000;0,08072;0,0023;-0,01462;0,0023;-0,011;0,0000;217,5;2015-01-12 08:45:10
Source Voltage;0,5500;0,5501;-0,2997;0,0000;0,0000;0,08072;0,0076;-0,01462;0,0076;-0,00997;0,0000;72,4;2015-01-12 08:45:11
Source Voltage;0,6000;0,6000;-0,2997;0,0000;0,0000;0,08072;0,01354;-0,01462;0,01354;-0,00873;0,0000;44,3;2015-01-12 08:45:11
