2015-01-12 11:35:39
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2994;-0,2994;-0,2994;0,0000;0,08072;-0,01456;-0,01456;-0,01456;-0,01456;0,0000;20,6;2015-01-12 11:35:40
Source Voltage;-0,2500;-0,2496;-0,2994;0,0000;0,0000;0,08072;-0,01444;-0,01456;-0,01444;-0,0145;0,0000;17,3;2015-01-12 11:35:40
Source Voltage;-0,2000;-0,1994;-0,2994;0,0000;0,0000;0,08072;-0,01438;-0,01456;-0,01438;-0,01446;0,0000;13,9;2015-01-12 11:35:41
Source Voltage;-0,1500;-0,1490;-0,2994;0,0000;0,0000;0,08072;-0,01426;-0,01456;-0,01426;-0,01441;0,0000;10,4;2015-01-12 11:35:42
Source Voltage;-0,1000;-0,0989;-0,2994;0,0000;0,0000;0,08072;-0,01412;-0,01456;-0,01412;-0,01435;0,0000;7;2015-01-12 11:35:42
Source Voltage;-0,0500;-0,0485;-0,2994;0,0000;0,0000;0,08072;-0,014;-0,01456;-0,014;-0,01429;0,0000;3,5;2015-01-12 11:35:43
Source Voltage;0,0000;0,0012;-0,2994;0,0000;0,0000;0,08072;-0,01384;-0,01456;-0,01384;-0,01423;0,0000;0,1;2015-01-12 11:35:43
Source Voltage;0,0500;0,0515;-0,2994;0,0000;0,0000;0,08072;-0,0137;-0,01456;-0,0137;-0,01416;0,0000;3,8;2015-01-12 11:35:44
Source Voltage;0,1000;0,1010;-0,2994;0,0000;0,0000;0,08072;-0,01348;-0,01456;-0,01348;-0,01408;0,0000;7,5;2015-01-12 11:35:45
Source Voltage;0,1500;0,1508;-0,2994;0,0000;0,0000;0,08072;-0,01322;-0,01456;-0,01322;-0,01399;0,0000;11,4;2015-01-12 11:35:45
Source Voltage;0,2000;0,2007;-0,2994;0,0000;0,0000;0,08072;-0,01282;-0,01456;-0,01282;-0,01388;0,0000;15,7;2015-01-12 11:35:46
Source Voltage;0,2500;0,2508;-0,2994;0,0000;0,0000;0,08072;-0,01226;-0,01456;-0,01226;-0,01374;0,0000;20,5;2015-01-12 11:35:46
Source Voltage;0,3000;0,3010;-0,2994;0,0000;0,0000;0,08072;-0,01134;-0,01456;-0,01134;-0,01356;0,0000;26,5;2015-01-12 11:35:47
Source Voltage;0,3500;0,3510;-0,2994;0,0000;0,0000;0,08072;-0,00994;-0,01456;-0,00994;-0,0133;0,0000;35,3;2015-01-12 11:35:48
Source Voltage;0,4000;0,4007;-0,2994;0,0000;0,0000;0,08072;-0,00772;-0,01456;-0,00772;-0,01293;0,0000;51,9;2015-01-12 11:35:48
Source Voltage;0,4500;0,4510;-0,2994;0,0000;0,0000;0,08072;-0,00445;-0,01456;-0,00445;-0,0124;0,0000;101,3;2015-01-12 11:35:49
Source Voltage;0,5000;0,5007;-0,2994;0,0000;0,0000;0,08072;2E-05;-0,01456;2E-05;-0,01167;0,0000;25035;2015-01-12 11:35:49
Source Voltage;0,5500;0,5507;-0,2994;0,0000;0,0000;0,08072;0,00576;-0,01456;0,00576;-0,0107;0,0000;95,6;2015-01-12 11:35:50
Source Voltage;0,6000;0,6007;-0,2994;0,0000;0,0000;0,08072;0,01262;-0,01456;0,01262;-0,00947;0,0000;47,6;2015-01-12 11:35:51
