2015-01-12 08:50:33
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2997;-0,2997;-0,2997;0,0000;0,08072;-0,01504;-0,01504;-0,01504;-0,01504;0,0000;19,9;2015-01-12 08:50:33
Source Voltage;-0,2500;-0,2495;-0,2997;0,0000;0,0000;0,08072;-0,01482;-0,01504;-0,01482;-0,01493;0,0000;16,8;2015-01-12 08:50:34
Source Voltage;-0,2000;-0,1996;-0,2997;0,0000;0,0000;0,08072;-0,01454;-0,01504;-0,01454;-0,0148;0,0000;13,7;2015-01-12 08:50:34
Source Voltage;-0,1500;-0,1493;-0,2997;0,0000;0,0000;0,08072;-0,01422;-0,01504;-0,01422;-0,01466;0,0000;10,5;2015-01-12 08:50:35
Source Voltage;-0,1000;-0,0995;-0,2997;0,0000;0,0000;0,08072;-0,01392;-0,01504;-0,01392;-0,01451;0,0000;7,1;2015-01-12 08:50:36
Source Voltage;-0,0500;-0,0488;-0,2997;0,0000;0,0000;0,08072;-0,01358;-0,01504;-0,01358;-0,01436;0,0000;3,6;2015-01-12 08:50:36
Source Voltage;0,0000;0,0006;-0,2997;0,0000;0,0000;0,08072;-0,0132;-0,01504;-0,0132;-0,01419;0,0000;0;2015-01-12 08:50:37
Source Voltage;0,0500;0,0507;-0,2997;0,0000;0,0000;0,08072;-0,01272;-0,01504;-0,01272;-0,01401;0,0000;4;2015-01-12 08:50:37
Source Voltage;0,1000;0,1006;-0,2997;0,0000;0,0000;0,08072;-0,0121;-0,01504;-0,0121;-0,0138;0,0000;8,3;2015-01-12 08:50:38
Source Voltage;0,1500;0,1505;-0,2997;0,0000;0,0000;0,08072;-0,01144;-0,01504;-0,01144;-0,01356;0,0000;13,2;2015-01-12 08:50:39
Source Voltage;0,2000;0,2001;-0,2997;0,0000;0,0000;0,08072;-0,01048;-0,01504;-0,01048;-0,01328;0,0000;19,1;2015-01-12 08:50:39
Source Voltage;0,2500;0,2507;-0,2997;0,0000;0,0000;0,08072;-0,00932;-0,01504;-0,00932;-0,01295;0,0000;26,9;2015-01-12 08:50:40
Source Voltage;0,3000;0,3005;-0,2997;0,0000;0,0000;0,08072;-0,00778;-0,01504;-0,00778;-0,01255;0,0000;38,6;2015-01-12 08:50:40
Source Voltage;0,3500;0,3505;-0,2997;0,0000;0,0000;0,08072;-0,00578;-0,01504;-0,00578;-0,01207;0,0000;60,6;2015-01-12 08:50:41
Source Voltage;0,4000;0,4005;-0,2997;0,0000;0,0000;0,08072;-0,00322;-0,01504;-0,00322;-0,01148;0,0000;124,4;2015-01-12 08:50:42
Source Voltage;0,4500;0,4504;-0,2997;0,0000;0,0000;0,08072;4E-05;-0,01504;4E-05;-0,01076;0,0000;11260;2015-01-12 08:50:42
Source Voltage;0,5000;0,5004;-0,2997;0,0000;0,0000;0,08072;0,00418;-0,01504;0,00418;-0,00988;0,0000;119,7;2015-01-12 08:50:43
Source Voltage;0,5500;0,5504;-0,2997;0,0000;0,0000;0,08072;0,00929;-0,01504;0,00929;-0,00882;0,0000;59,2;2015-01-12 08:50:43
Source Voltage;0,6000;0,6006;-0,2997;0,0000;0,0000;0,08072;0,01522;-0,01504;0,01522;-0,00755;0,0000;39,5;2015-01-12 08:50:44
