2015-01-12 09:49:24
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2994;-0,2994;-0,2994;0,0000;0,08072;-0,01796;-0,01796;-0,01796;-0,01796;0,0000;16,7;2015-01-12 09:49:24
Source Voltage;-0,2500;-0,2495;-0,2994;0,0000;0,0000;0,08072;-0,01791;-0,01796;-0,01791;-0,01793;0,0000;13,9;2015-01-12 09:49:25
Source Voltage;-0,2000;-0,1992;-0,2994;0,0000;0,0000;0,08072;-0,01782;-0,01796;-0,01782;-0,01789;0,0000;11,2;2015-01-12 09:49:26
Source Voltage;-0,1500;-0,1493;-0,2994;0,0000;0,0000;0,08072;-0,0177;-0,01796;-0,0177;-0,01784;0,0000;8,4;2015-01-12 09:49:26
Source Voltage;-0,1000;-0,0988;-0,2994;0,0000;0,0000;0,08072;-0,01756;-0,01796;-0,01756;-0,01778;0,0000;5,6;2015-01-12 09:49:27
Source Voltage;-0,0500;-0,0491;-0,2994;0,0000;0,0000;0,08072;-0,01742;-0,01796;-0,01742;-0,01772;0,0000;2,8;2015-01-12 09:49:27
Source Voltage;0,0000;0,0013;-0,2994;0,0000;0,0000;0,08072;-0,01722;-0,01796;-0,01722;-0,01765;0,0000;0,1;2015-01-12 09:49:28
Source Voltage;0,0500;0,0511;-0,2994;0,0000;0,0000;0,08072;-0,01694;-0,01796;-0,01694;-0,01756;0,0000;3;2015-01-12 09:49:29
Source Voltage;0,1000;0,1009;-0,2994;0,0000;0,0000;0,08072;-0,01657;-0,01796;-0,01657;-0,01745;0,0000;6,1;2015-01-12 09:49:29
Source Voltage;0,1500;0,1508;-0,2994;0,0000;0,0000;0,08072;-0,01602;-0,01796;-0,01602;-0,01731;0,0000;9,4;2015-01-12 09:49:30
Source Voltage;0,2000;0,2009;-0,2994;0,0000;0,0000;0,08072;-0,01522;-0,01796;-0,01522;-0,01712;0,0000;13,2;2015-01-12 09:49:31
Source Voltage;0,2500;0,2507;-0,2994;0,0000;0,0000;0,08072;-0,01412;-0,01796;-0,01412;-0,01687;0,0000;17,8;2015-01-12 09:49:31
Source Voltage;0,3000;0,3010;-0,2994;0,0000;0,0000;0,08072;-0,0126;-0,01796;-0,0126;-0,01654;0,0000;23,9;2015-01-12 09:49:32
Source Voltage;0,3500;0,3507;-0,2994;0,0000;0,0000;0,08072;-0,0105;-0,01796;-0,0105;-0,01611;0,0000;33,4;2015-01-12 09:49:32
Source Voltage;0,4000;0,4006;-0,2994;0,0000;0,0000;0,08072;-0,00766;-0,01796;-0,00766;-0,01555;0,0000;52,3;2015-01-12 09:49:33
Source Voltage;0,4500;0,4509;-0,2994;0,0000;0,0000;0,08072;-0,00408;-0,01796;-0,00408;-0,01483;0,0000;110,5;2015-01-12 09:49:34
Source Voltage;0,5000;0,5011;-0,2994;0,0000;0,0000;0,08072;0,00028;-0,01796;0,00028;-0,01394;0,0000;1789,6;2015-01-12 09:49:34
Source Voltage;0,5500;0,5510;-0,2994;0,0000;0,0000;0,08072;0,00534;-0,01796;0,00534;-0,01287;0,0000;103,2;2015-01-12 09:49:35
Source Voltage;0,6000;0,6003;-0,2994;0,0000;0,0000;0,08072;0,01072;-0,01796;0,01072;-0,01163;0,0000;56;2015-01-12 09:49:35
