2015-01-12 09:40:07
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2998;-0,2998;-0,2998;0,0000;0,08072;-0,01052;-0,01052;-0,01052;-0,01052;0,0000;28,5;2015-01-12 09:40:08
Source Voltage;-0,2500;-0,2497;-0,2998;0,0000;0,0000;0,08072;-0,0103;-0,01052;-0,0103;-0,01041;0,0000;24,2;2015-01-12 09:40:09
Source Voltage;-0,2000;-0,1995;-0,2998;0,0000;0,0000;0,08072;-0,01006;-0,01052;-0,01006;-0,01029;0,0000;19,8;2015-01-12 09:40:09
Source Voltage;-0,1500;-0,1494;-0,2998;0,0000;0,0000;0,08072;-0,00976;-0,01052;-0,00976;-0,01016;0,0000;15,3;2015-01-12 09:40:10
Source Voltage;-0,1000;-0,0994;-0,2998;0,0000;0,0000;0,08072;-0,00944;-0,01052;-0,00944;-0,01002;0,0000;10,5;2015-01-12 09:40:10
Source Voltage;-0,0500;-0,0493;-0,2998;0,0000;0,0000;0,08072;-0,00902;-0,01052;-0,00902;-0,00985;0,0000;5,5;2015-01-12 09:40:11
Source Voltage;0,0000;0,0007;-0,2998;0,0000;0,0000;0,08072;-0,0085;-0,01052;-0,0085;-0,00966;0,0000;0,1;2015-01-12 09:40:12
Source Voltage;0,0500;0,0511;-0,2998;0,0000;0,0000;0,08072;-0,00784;-0,01052;-0,00784;-0,00943;0,0000;6,5;2015-01-12 09:40:12
Source Voltage;0,1000;0,1008;-0,2998;0,0000;0,0000;0,08072;-0,00702;-0,01052;-0,00702;-0,00916;0,0000;14,4;2015-01-12 09:40:13
Source Voltage;0,1500;0,1506;-0,2998;0,0000;0,0000;0,08072;-0,00594;-0,01052;-0,00594;-0,00884;0,0000;25,4;2015-01-12 09:40:13
Source Voltage;0,2000;0,2005;-0,2998;0,0000;0,0000;0,08072;-0,0045;-0,01052;-0,0045;-0,00845;0,0000;44,6;2015-01-12 09:40:14
Source Voltage;0,2500;0,2503;-0,2998;0,0000;0,0000;0,08072;-0,00254;-0,01052;-0,00254;-0,00796;0,0000;98,5;2015-01-12 09:40:15
Source Voltage;0,3000;0,3010;-0,2998;0,0000;0,0000;0,08072;0;-0,01052;0;-0,00735;0,0000;INF;2015-01-12 09:40:15
Source Voltage;0,3500;0,3505;-0,2998;0,0000;0,0000;0,08072;0,00338;-0,01052;0,00338;-0,00658;0,0000;103,7;2015-01-12 09:40:16
Source Voltage;0,4000;0,4005;-0,2998;0,0000;0,0000;0,08072;0,0078;-0,01052;0,0078;-0,00562;0,0000;51,3;2015-01-12 09:40:16
Source Voltage;0,4500;0,4505;-0,2998;0,0000;0,0000;0,08072;0,01338;-0,01052;0,01338;-0,00443;0,0000;33,7;2015-01-12 09:40:17
Source Voltage;0,5000;0,5004;-0,2998;0,0000;0,0000;0,08072;0,02012;-0,01052;0,02012;-0,00299;0,0000;24,9;2015-01-12 09:40:18
Source Voltage;0,5500;0,5503;-0,2998;0,0000;0,0000;0,08072;0,02792;-0,01052;0,02792;-0,00127;0,0000;19,7;2015-01-12 09:40:18
Source Voltage;0,6000;0,5999;-0,2998;0,0000;0,0000;0,08072;0,03661;-0,01052;0,03661;0,00072;0,0000;16,4;2015-01-12 09:40:19
