2015-01-12 08:37:47
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2999;-0,2999;-0,2999;0,0000;0,08072;-0,01214;-0,01214;-0,01214;-0,01214;0,0000;24,7;2015-01-12 08:37:48
Source Voltage;-0,2500;-0,2501;-0,2999;0,0000;0,0000;0,08072;-0,01202;-0,01214;-0,01202;-0,01208;0,0000;20,8;2015-01-12 08:37:49
Source Voltage;-0,2000;-0,1998;-0,2999;0,0000;0,0000;0,08072;-0,01186;-0,01214;-0,01186;-0,01201;0,0000;16,8;2015-01-12 08:37:49
Source Voltage;-0,1500;-0,1497;-0,2999;0,0000;0,0000;0,08072;-0,01166;-0,01214;-0,01166;-0,01192;0,0000;12,8;2015-01-12 08:37:50
Source Voltage;-0,1000;-0,0997;-0,2999;0,0000;0,0000;0,08072;-0,01144;-0,01214;-0,01144;-0,01182;0,0000;8,7;2015-01-12 08:37:50
Source Voltage;-0,0500;-0,0494;-0,2999;0,0000;0,0000;0,08072;-0,01116;-0,01214;-0,01116;-0,01171;0,0000;4,4;2015-01-12 08:37:51
Source Voltage;0,0000;0,0006;-0,2999;0,0000;0,0000;0,08072;-0,01082;-0,01214;-0,01082;-0,01158;0,0000;0,1;2015-01-12 08:37:52
Source Voltage;0,0500;0,0511;-0,2999;0,0000;0,0000;0,08072;-0,01036;-0,01214;-0,01036;-0,01143;0,0000;4,9;2015-01-12 08:37:52
Source Voltage;0,1000;0,1008;-0,2999;0,0000;0,0000;0,08072;-0,00974;-0,01214;-0,00974;-0,01124;0,0000;10,3;2015-01-12 08:37:53
Source Voltage;0,1500;0,1506;-0,2999;0,0000;0,0000;0,08072;-0,00884;-0,01214;-0,00884;-0,011;0,0000;17;2015-01-12 08:37:53
Source Voltage;0,2000;0,2003;-0,2999;0,0000;0,0000;0,08072;-0,00758;-0,01214;-0,00758;-0,01069;0,0000;26,4;2015-01-12 08:37:54
Source Voltage;0,2500;0,2503;-0,2999;0,0000;0,0000;0,08072;-0,0058;-0,01214;-0,0058;-0,01028;0,0000;43,2;2015-01-12 08:37:55
Source Voltage;0,3000;0,3004;-0,2999;0,0000;0,0000;0,08072;-0,0034;-0,01214;-0,0034;-0,00975;0,0000;88,4;2015-01-12 08:37:55
Source Voltage;0,3500;0,3505;-0,2999;0,0000;0,0000;0,08072;-0,0003;-0,01214;-0,0003;-0,00907;0,0000;1168,3;2015-01-12 08:37:56
Source Voltage;0,4000;0,4006;-0,2999;0,0000;0,0000;0,08072;0,00356;-0,01214;0,00356;-0,00823;0,0000;112,5;2015-01-12 08:37:56
Source Voltage;0,4500;0,4505;-0,2999;0,0000;0,0000;0,08072;0,00822;-0,01214;0,00822;-0,0072;0,0000;54,8;2015-01-12 08:37:57
Source Voltage;0,5000;0,5000;-0,2999;0,0000;0,0000;0,08072;0,01358;-0,01214;0,01358;-0,00598;0,0000;36,8;2015-01-12 08:37:58
Source Voltage;0,5500;0,5505;-0,2999;0,0000;0,0000;0,08072;0,01962;-0,01214;0,01962;-0,00456;0,0000;28,1;2015-01-12 08:37:58
Source Voltage;0,6000;0,6003;-0,2999;0,0000;0,0000;0,08072;0,02618;-0,01214;0,02618;-0,00294;0,0000;22,9;2015-01-12 08:37:59
