2015-01-12 12:00:08
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,01632;-0,01632;-0,01632;-0,01632;0,0000;18,3;2015-01-12 12:00:09
Source Voltage;-0,2500;-0,2487;-0,2992;0,0000;0,0000;0,08072;-0,01627;-0,01632;-0,01627;-0,0163;0,0000;15,3;2015-01-12 12:00:09
Source Voltage;-0,2000;-0,1993;-0,2992;0,0000;0,0000;0,08072;-0,01618;-0,01632;-0,01618;-0,01626;0,0000;12,3;2015-01-12 12:00:10
Source Voltage;-0,1500;-0,1489;-0,2992;0,0000;0,0000;0,08072;-0,0161;-0,01632;-0,0161;-0,01622;0,0000;9,2;2015-01-12 12:00:10
Source Voltage;-0,1000;-0,0989;-0,2992;0,0000;0,0000;0,08072;-0,016;-0,01632;-0,016;-0,01618;0,0000;6,2;2015-01-12 12:00:11
Source Voltage;-0,0500;-0,0485;-0,2992;0,0000;0,0000;0,08072;-0,01592;-0,01632;-0,01592;-0,01614;0,0000;3;2015-01-12 12:00:12
Source Voltage;0,0000;0,0016;-0,2992;0,0000;0,0000;0,08072;-0,0158;-0,01632;-0,0158;-0,01609;0,0000;0,1;2015-01-12 12:00:12
Source Voltage;0,0500;0,0514;-0,2992;0,0000;0,0000;0,08072;-0,01564;-0,01632;-0,01564;-0,01603;0,0000;3,3;2015-01-12 12:00:13
Source Voltage;0,1000;0,1013;-0,2992;0,0000;0,0000;0,08072;-0,01544;-0,01632;-0,01544;-0,01596;0,0000;6,6;2015-01-12 12:00:13
Source Voltage;0,1500;0,1512;-0,2992;0,0000;0,0000;0,08072;-0,01516;-0,01632;-0,01516;-0,01588;0,0000;10;2015-01-12 12:00:14
Source Voltage;0,2000;0,2012;-0,2992;0,0000;0,0000;0,08072;-0,01476;-0,01632;-0,01476;-0,01578;0,0000;13,6;2015-01-12 12:00:15
Source Voltage;0,2500;0,2506;-0,2992;0,0000;0,0000;0,08072;-0,01414;-0,01632;-0,01414;-0,01564;0,0000;17,7;2015-01-12 12:00:15
Source Voltage;0,3000;0,3013;-0,2992;0,0000;0,0000;0,08072;-0,01322;-0,01632;-0,01322;-0,01545;0,0000;22,8;2015-01-12 12:00:16
Source Voltage;0,3500;0,3511;-0,2992;0,0000;0,0000;0,08072;-0,0117;-0,01632;-0,0117;-0,01518;0,0000;30;2015-01-12 12:00:16
Source Voltage;0,4000;0,4009;-0,2992;0,0000;0,0000;0,08072;-0,00936;-0,01632;-0,00936;-0,01479;0,0000;42,8;2015-01-12 12:00:17
Source Voltage;0,4500;0,4507;-0,2992;0,0000;0,0000;0,08072;-0,00588;-0,01632;-0,00588;-0,01423;0,0000;76,6;2015-01-12 12:00:18
Source Voltage;0,5000;0,5010;-0,2992;0,0000;0,0000;0,08072;-0,00096;-0,01632;-0,00096;-0,01345;0,0000;521,9;2015-01-12 12:00:18
Source Voltage;0,5500;0,5510;-0,2992;0,0000;0,0000;0,08072;0,00542;-0,01632;0,00542;-0,0124;0,0000;101,7;2015-01-12 12:00:19
Source Voltage;0,6000;0,6009;-0,2992;0,0000;0,0000;0,08072;0,01312;-0,01632;0,01312;-0,01106;0,0000;45,8;2015-01-12 12:00:19
