2015-01-12 11:54:51
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,01104;-0,01104;-0,01104;-0,01104;0,0000;27,1;2015-01-12 11:54:51
Source Voltage;-0,2500;-0,2493;-0,2992;0,0000;0,0000;0,08072;-0,01072;-0,01104;-0,01072;-0,01088;0,0000;23,3;2015-01-12 11:54:52
Source Voltage;-0,2000;-0,1991;-0,2992;0,0000;0,0000;0,08072;-0,01036;-0,01104;-0,01036;-0,01071;0,0000;19,2;2015-01-12 11:54:53
Source Voltage;-0,1500;-0,1492;-0,2992;0,0000;0,0000;0,08072;-0,01008;-0,01104;-0,01008;-0,01055;0,0000;14,8;2015-01-12 11:54:53
Source Voltage;-0,1000;-0,0990;-0,2992;0,0000;0,0000;0,08072;-0,00974;-0,01104;-0,00974;-0,01039;0,0000;10,2;2015-01-12 11:54:54
Source Voltage;-0,0500;-0,0488;-0,2992;0,0000;0,0000;0,08072;-0,00944;-0,01104;-0,00944;-0,01023;0,0000;5,2;2015-01-12 11:54:54
Source Voltage;0,0000;0,0010;-0,2992;0,0000;0,0000;0,08072;-0,00904;-0,01104;-0,00904;-0,01006;0,0000;0,1;2015-01-12 11:54:55
Source Voltage;0,0500;0,0509;-0,2992;0,0000;0,0000;0,08072;-0,00858;-0,01104;-0,00858;-0,00988;0,0000;5,9;2015-01-12 11:54:56
Source Voltage;0,1000;0,1011;-0,2992;0,0000;0,0000;0,08072;-0,00792;-0,01104;-0,00792;-0,00966;0,0000;12,8;2015-01-12 11:54:56
Source Voltage;0,1500;0,1509;-0,2992;0,0000;0,0000;0,08072;-0,00696;-0,01104;-0,00696;-0,00939;0,0000;21,7;2015-01-12 11:54:57
Source Voltage;0,2000;0,2010;-0,2992;0,0000;0,0000;0,08072;-0,0056;-0,01104;-0,0056;-0,00905;0,0000;35,9;2015-01-12 11:54:57
Source Voltage;0,2500;0,2508;-0,2992;0,0000;0,0000;0,08072;-0,00362;-0,01104;-0,00362;-0,0086;0,0000;69,3;2015-01-12 11:54:58
Source Voltage;0,3000;0,3010;-0,2992;0,0000;0,0000;0,08072;-0,00086;-0,01104;-0,00086;-0,008;0,0000;350;2015-01-12 11:54:59
Source Voltage;0,3500;0,3510;-0,2992;0,0000;0,0000;0,08072;0,00296;-0,01104;0,00296;-0,00722;0,0000;118,6;2015-01-12 11:54:59
Source Voltage;0,4000;0,4010;-0,2992;0,0000;0,0000;0,08072;0,00798;-0,01104;0,00798;-0,00621;0,0000;50,3;2015-01-12 11:55:00
Source Voltage;0,4500;0,4508;-0,2992;0,0000;0,0000;0,08072;0,0144;-0,01104;0,0144;-0,00492;0,0000;31,3;2015-01-12 11:55:00
Source Voltage;0,5000;0,5005;-0,2992;0,0000;0,0000;0,08072;0,02222;-0,01104;0,02222;-0,00332;0,0000;22,5;2015-01-12 11:55:01
Source Voltage;0,5500;0,5507;-0,2992;0,0000;0,0000;0,08072;0,03122;-0,01104;0,03122;-0,0014;0,0000;17,6;2015-01-12 11:55:02
Source Voltage;0,6000;0,6003;-0,2992;0,0000;0,0000;0,08072;0,0411;-0,01104;0,0411;0,00084;0,0000;14,6;2015-01-12 11:55:02
