2015-01-12 11:50:31
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,0182;-0,0182;-0,0182;-0,0182;0,0000;16,4;2015-01-12 11:50:31
Source Voltage;-0,2500;-0,2493;-0,2993;0,0000;0,0000;0,08072;-0,01809;-0,0182;-0,01809;-0,01815;0,0000;13,8;2015-01-12 11:50:32
Source Voltage;-0,2000;-0,1993;-0,2993;0,0000;0,0000;0,08072;-0,01796;-0,0182;-0,01796;-0,01809;0,0000;11,1;2015-01-12 11:50:33
Source Voltage;-0,1500;-0,1494;-0,2993;0,0000;0,0000;0,08072;-0,01772;-0,0182;-0,01772;-0,018;0,0000;8,4;2015-01-12 11:50:33
Source Voltage;-0,1000;-0,0988;-0,2993;0,0000;0,0000;0,08072;-0,01754;-0,0182;-0,01754;-0,01791;0,0000;5,6;2015-01-12 11:50:34
Source Voltage;-0,0500;-0,0488;-0,2993;0,0000;0,0000;0,08072;-0,0172;-0,0182;-0,0172;-0,01779;0,0000;2,8;2015-01-12 11:50:34
Source Voltage;0,0000;0,0015;-0,2993;0,0000;0,0000;0,08072;-0,01688;-0,0182;-0,01688;-0,01766;0,0000;0,1;2015-01-12 11:50:35
Source Voltage;0,0500;0,0513;-0,2993;0,0000;0,0000;0,08072;-0,01644;-0,0182;-0,01644;-0,01751;0,0000;3,1;2015-01-12 11:50:36
Source Voltage;0,1000;0,1010;-0,2993;0,0000;0,0000;0,08072;-0,01584;-0,0182;-0,01584;-0,01732;0,0000;6,4;2015-01-12 11:50:36
Source Voltage;0,1500;0,1509;-0,2993;0,0000;0,0000;0,08072;-0,01512;-0,0182;-0,01512;-0,0171;0,0000;10;2015-01-12 11:50:37
Source Voltage;0,2000;0,2010;-0,2993;0,0000;0,0000;0,08072;-0,0142;-0,0182;-0,0142;-0,01684;0,0000;14,2;2015-01-12 11:50:37
Source Voltage;0,2500;0,2510;-0,2993;0,0000;0,0000;0,08072;-0,01298;-0,0182;-0,01298;-0,01652;0,0000;19,3;2015-01-12 11:50:38
Source Voltage;0,3000;0,3009;-0,2993;0,0000;0,0000;0,08072;-0,0114;-0,0182;-0,0114;-0,01613;0,0000;26,4;2015-01-12 11:50:39
Source Voltage;0,3500;0,3511;-0,2993;0,0000;0,0000;0,08072;-0,00931;-0,0182;-0,00931;-0,01564;0,0000;37,7;2015-01-12 11:50:39
Source Voltage;0,4000;0,4006;-0,2993;0,0000;0,0000;0,08072;-0,00662;-0,0182;-0,00662;-0,01504;0,0000;60,5;2015-01-12 11:50:40
Source Voltage;0,4500;0,4508;-0,2993;0,0000;0,0000;0,08072;-0,00336;-0,0182;-0,00336;-0,01431;0,0000;134,2;2015-01-12 11:50:40
Source Voltage;0,5000;0,5008;-0,2993;0,0000;0,0000;0,08072;0,00038;-0,0182;0,00038;-0,01345;0,0000;1317,9;2015-01-12 11:50:41
Source Voltage;0,5500;0,5507;-0,2993;0,0000;0,0000;0,08072;0,00444;-0,0182;0,00444;-0,01246;0,0000;124;2015-01-12 11:50:42
Source Voltage;0,6000;0,6006;-0,2993;0,0000;0,0000;0,08072;0,00856;-0,0182;0,00856;-0,01135;0,0000;70,2;2015-01-12 11:50:42
