2015-01-12 11:50:56
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01832;-0,01832;-0,01832;-0,01832;0,0000;16,3;2015-01-12 11:50:57
Source Voltage;-0,2500;-0,2493;-0,2990;0,0000;0,0000;0,08072;-0,01822;-0,01832;-0,01822;-0,01827;0,0000;13,7;2015-01-12 11:50:58
Source Voltage;-0,2000;-0,1992;-0,2990;0,0000;0,0000;0,08072;-0,01814;-0,01832;-0,01814;-0,01823;0,0000;11;2015-01-12 11:50:58
Source Voltage;-0,1500;-0,1485;-0,2990;0,0000;0,0000;0,08072;-0,01806;-0,01832;-0,01806;-0,01819;0,0000;8,2;2015-01-12 11:50:59
Source Voltage;-0,1000;-0,0991;-0,2990;0,0000;0,0000;0,08072;-0,01791;-0,01832;-0,01791;-0,01813;0,0000;5,5;2015-01-12 11:50:59
Source Voltage;-0,0500;-0,0490;-0,2990;0,0000;0,0000;0,08072;-0,01775;-0,01832;-0,01775;-0,01807;0,0000;2,8;2015-01-12 11:51:00
Source Voltage;0,0000;0,0011;-0,2990;0,0000;0,0000;0,08072;-0,01754;-0,01832;-0,01754;-0,01799;0,0000;0,1;2015-01-12 11:51:01
Source Voltage;0,0500;0,0514;-0,2990;0,0000;0,0000;0,08072;-0,01727;-0,01832;-0,01727;-0,0179;0,0000;3;2015-01-12 11:51:01
Source Voltage;0,1000;0,1013;-0,2990;0,0000;0,0000;0,08072;-0,01686;-0,01832;-0,01686;-0,01778;0,0000;6;2015-01-12 11:51:02
Source Voltage;0,1500;0,1516;-0,2990;0,0000;0,0000;0,08072;-0,01634;-0,01832;-0,01634;-0,01764;0,0000;9,3;2015-01-12 11:51:02
Source Voltage;0,2000;0,2012;-0,2990;0,0000;0,0000;0,08072;-0,0155;-0,01832;-0,0155;-0,01745;0,0000;13;2015-01-12 11:51:03
Source Voltage;0,2500;0,2509;-0,2990;0,0000;0,0000;0,08072;-0,01438;-0,01832;-0,01438;-0,01719;0,0000;17,4;2015-01-12 11:51:04
Source Voltage;0,3000;0,3010;-0,2990;0,0000;0,0000;0,08072;-0,01274;-0,01832;-0,01274;-0,01685;0,0000;23,6;2015-01-12 11:51:04
Source Voltage;0,3500;0,3509;-0,2990;0,0000;0,0000;0,08072;-0,01052;-0,01832;-0,01052;-0,0164;0,0000;33,4;2015-01-12 11:51:05
Source Voltage;0,4000;0,4010;-0,2990;0,0000;0,0000;0,08072;-0,00758;-0,01832;-0,00758;-0,01581;0,0000;52,9;2015-01-12 11:51:05
Source Voltage;0,4500;0,4509;-0,2990;0,0000;0,0000;0,08072;-0,00394;-0,01832;-0,00394;-0,01507;0,0000;114,4;2015-01-12 11:51:06
Source Voltage;0,5000;0,5006;-0,2990;0,0000;0,0000;0,08072;0,0004;-0,01832;0,0004;-0,01416;0,0000;1251,5;2015-01-12 11:51:07
Source Voltage;0,5500;0,5507;-0,2990;0,0000;0,0000;0,08072;0,00512;-0,01832;0,00512;-0,01309;0,0000;107,6;2015-01-12 11:51:07
Source Voltage;0,6000;0,6003;-0,2990;0,0000;0,0000;0,08072;0,01002;-0,01832;0,01002;-0,01187;0,0000;59,9;2015-01-12 11:51:08
