2015-01-12 11:52:46
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,0198;-0,0198;-0,0198;-0,0198;0,0000;15,1;2015-01-12 11:52:47
Source Voltage;-0,2500;-0,2493;-0,2992;0,0000;0,0000;0,08072;-0,01984;-0,01984;-0,0198;-0,01982;0,0000;12,6;2015-01-12 11:52:47
Source Voltage;-0,2000;-0,1996;-0,2992;0,0000;0,0000;0,08072;-0,01962;-0,01984;-0,01962;-0,01975;0,0000;10,2;2015-01-12 11:52:48
Source Voltage;-0,1500;-0,1493;-0,2992;0,0000;0,0000;0,08072;-0,01932;-0,01984;-0,01932;-0,01964;0,0000;7,7;2015-01-12 11:52:48
Source Voltage;-0,1000;-0,0991;-0,2992;0,0000;0,0000;0,08072;-0,0191;-0,01984;-0,0191;-0,01953;0,0000;5,2;2015-01-12 11:52:49
Source Voltage;-0,0500;-0,0488;-0,2992;0,0000;0,0000;0,08072;-0,01893;-0,01984;-0,01893;-0,01943;0,0000;2,6;2015-01-12 11:52:50
Source Voltage;0,0000;0,0010;-0,2992;0,0000;0,0000;0,08072;-0,01876;-0,01984;-0,01876;-0,01933;0,0000;0,1;2015-01-12 11:52:50
Source Voltage;0,0500;0,0511;-0,2992;0,0000;0,0000;0,08072;-0,01852;-0,01984;-0,01852;-0,01923;0,0000;2,8;2015-01-12 11:52:51
Source Voltage;0,1000;0,1013;-0,2992;0,0000;0,0000;0,08072;-0,01808;-0,01984;-0,01808;-0,0191;0,0000;5,6;2015-01-12 11:52:51
Source Voltage;0,1500;0,1510;-0,2992;0,0000;0,0000;0,08072;-0,01762;-0,01984;-0,01762;-0,01895;0,0000;8,6;2015-01-12 11:52:52
Source Voltage;0,2000;0,2010;-0,2992;0,0000;0,0000;0,08072;-0,01704;-0,01984;-0,01704;-0,01878;0,0000;11,8;2015-01-12 11:52:53
Source Voltage;0,2500;0,2508;-0,2992;0,0000;0,0000;0,08072;-0,01614;-0,01984;-0,01614;-0,01856;0,0000;15,5;2015-01-12 11:52:53
Source Voltage;0,3000;0,3010;-0,2992;0,0000;0,0000;0,08072;-0,01486;-0,01984;-0,01486;-0,01828;0,0000;20,3;2015-01-12 11:52:54
Source Voltage;0,3500;0,3510;-0,2992;0,0000;0,0000;0,08072;-0,01288;-0,01984;-0,01288;-0,01789;0,0000;27,3;2015-01-12 11:52:54
Source Voltage;0,4000;0,4009;-0,2992;0,0000;0,0000;0,08072;-0,01013;-0,01984;-0,01013;-0,01737;0,0000;39,6;2015-01-12 11:52:55
Source Voltage;0,4500;0,4513;-0,2992;0,0000;0,0000;0,08072;-0,00634;-0,01984;-0,00634;-0,01668;0,0000;71,2;2015-01-12 11:52:56
Source Voltage;0,5000;0,5008;-0,2992;0,0000;0,0000;0,08072;-0,0016;-0,01984;-0,0016;-0,01579;0,0000;313;2015-01-12 11:52:56
Source Voltage;0,5500;0,5507;-0,2992;0,0000;0,0000;0,08072;0,00394;-0,01984;0,00394;-0,01469;0,0000;139,8;2015-01-12 11:52:57
Source Voltage;0,6000;0,6005;-0,2992;0,0000;0,0000;0,08072;0,00992;-0,01984;0,00992;-0,01339;0,0000;60,5;2015-01-12 11:52:57
