2015-01-12 11:30:27
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2991;-0,2991;-0,2991;0,0000;0,08072;-0,01912;-0,01912;-0,01912;-0,01912;0,0000;15,6;2015-01-12 11:30:28
Source Voltage;-0,2500;-0,2491;-0,2991;0,0000;0,0000;0,08072;-0,01909;-0,01912;-0,01909;-0,0191;0,0000;13;2015-01-12 11:30:28
Source Voltage;-0,2000;-0,1994;-0,2991;0,0000;0,0000;0,08072;-0,01904;-0,01912;-0,01904;-0,01908;0,0000;10,5;2015-01-12 11:30:29
Source Voltage;-0,1500;-0,1492;-0,2991;0,0000;0,0000;0,08072;-0,01898;-0,01912;-0,01898;-0,01906;0,0000;7,9;2015-01-12 11:30:30
Source Voltage;-0,1000;-0,0991;-0,2991;0,0000;0,0000;0,08072;-0,0189;-0,01912;-0,0189;-0,01903;0,0000;5,2;2015-01-12 11:30:30
Source Voltage;-0,0500;-0,0486;-0,2991;0,0000;0,0000;0,08072;-0,0188;-0,01912;-0,0188;-0,01899;0,0000;2,6;2015-01-12 11:30:31
Source Voltage;0,0000;0,0014;-0,2991;0,0000;0,0000;0,08072;-0,01868;-0,01912;-0,01868;-0,01895;0,0000;0,1;2015-01-12 11:30:32
Source Voltage;0,0500;0,0511;-0,2991;0,0000;0,0000;0,08072;-0,01852;-0,01912;-0,01852;-0,0189;0,0000;2,8;2015-01-12 11:30:32
Source Voltage;0,1000;0,1011;-0,2991;0,0000;0,0000;0,08072;-0,01828;-0,01912;-0,01828;-0,01883;0,0000;5,5;2015-01-12 11:30:33
Source Voltage;0,1500;0,1512;-0,2991;0,0000;0,0000;0,08072;-0,01793;-0,01912;-0,01793;-0,01874;0,0000;8,4;2015-01-12 11:30:33
Source Voltage;0,2000;0,2016;-0,2991;0,0000;0,0000;0,08072;-0,01738;-0,01912;-0,01738;-0,01862;0,0000;11,6;2015-01-12 11:30:34
Source Voltage;0,2500;0,2512;-0,2991;0,0000;0,0000;0,08072;-0,01658;-0,01912;-0,01658;-0,01845;0,0000;15,2;2015-01-12 11:30:35
Source Voltage;0,3000;0,3013;-0,2991;0,0000;0,0000;0,08072;-0,01536;-0,01912;-0,01536;-0,01821;0,0000;19,6;2015-01-12 11:30:35
Source Voltage;0,3500;0,3511;-0,2991;0,0000;0,0000;0,08072;-0,0135;-0,01912;-0,0135;-0,01787;0,0000;26;2015-01-12 11:30:36
Source Voltage;0,4000;0,4008;-0,2991;0,0000;0,0000;0,08072;-0,01086;-0,01912;-0,01086;-0,0174;0,0000;36,9;2015-01-12 11:30:36
Source Voltage;0,4500;0,4511;-0,2991;0,0000;0,0000;0,08072;-0,00734;-0,01912;-0,00734;-0,01677;0,0000;61,5;2015-01-12 11:30:37
Source Voltage;0,5000;0,5009;-0,2991;0,0000;0,0000;0,08072;-0,00294;-0,01912;-0,00294;-0,01596;0,0000;170,4;2015-01-12 11:30:38
Source Voltage;0,5500;0,5510;-0,2991;0,0000;0,0000;0,08072;0,00212;-0,01912;0,00212;-0,01496;0,0000;259,9;2015-01-12 11:30:38
Source Voltage;0,6000;0,6005;-0,2991;0,0000;0,0000;0,08072;0,00754;-0,01912;0,00754;-0,01378;0,0000;79,6;2015-01-12 11:30:39
