2015-01-12 11:41:37
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2991;-0,2991;-0,2991;0,0000;0,08072;-0,01168;-0,01168;-0,01168;-0,01168;0,0000;25,6;2015-01-12 11:41:37
Source Voltage;-0,2500;-0,2489;-0,2991;0,0000;0,0000;0,08072;-0,01152;-0,01168;-0,01152;-0,0116;0,0000;21,6;2015-01-12 11:41:38
Source Voltage;-0,2000;-0,1991;-0,2991;0,0000;0,0000;0,08072;-0,01136;-0,01168;-0,01136;-0,01152;0,0000;17,5;2015-01-12 11:41:39
Source Voltage;-0,1500;-0,1488;-0,2991;0,0000;0,0000;0,08072;-0,01116;-0,01168;-0,01116;-0,01143;0,0000;13,3;2015-01-12 11:41:39
Source Voltage;-0,1000;-0,0991;-0,2991;0,0000;0,0000;0,08072;-0,01096;-0,01168;-0,01096;-0,01134;0,0000;9;2015-01-12 11:41:40
Source Voltage;-0,0500;-0,0487;-0,2991;0,0000;0,0000;0,08072;-0,01064;-0,01168;-0,01064;-0,01122;0,0000;4,6;2015-01-12 11:41:41
Source Voltage;0,0000;0,0010;-0,2991;0,0000;0,0000;0,08072;-0,0103;-0,01168;-0,0103;-0,01109;0,0000;0,1;2015-01-12 11:41:41
Source Voltage;0,0500;0,0510;-0,2991;0,0000;0,0000;0,08072;-0,0098;-0,01168;-0,0098;-0,01093;0,0000;5,2;2015-01-12 11:41:42
Source Voltage;0,1000;0,1016;-0,2991;0,0000;0,0000;0,08072;-0,00908;-0,01168;-0,00908;-0,01072;0,0000;11,2;2015-01-12 11:41:42
Source Voltage;0,1500;0,1512;-0,2991;0,0000;0,0000;0,08072;-0,00802;-0,01168;-0,00802;-0,01045;0,0000;18,9;2015-01-12 11:41:43
Source Voltage;0,2000;0,2009;-0,2991;0,0000;0,0000;0,08072;-0,00648;-0,01168;-0,00648;-0,01009;0,0000;31;2015-01-12 11:41:44
Source Voltage;0,2500;0,2513;-0,2991;0,0000;0,0000;0,08072;-0,00432;-0,01168;-0,00432;-0,00961;0,0000;58,2;2015-01-12 11:41:44
Source Voltage;0,3000;0,3010;-0,2991;0,0000;0,0000;0,08072;-0,00142;-0,01168;-0,00142;-0,00898;0,0000;212;2015-01-12 11:41:45
Source Voltage;0,3500;0,3509;-0,2991;0,0000;0,0000;0,08072;0,00236;-0,01168;0,00236;-0,00817;0,0000;148,7;2015-01-12 11:41:45
Source Voltage;0,4000;0,4008;-0,2991;0,0000;0,0000;0,08072;0,00702;-0,01168;0,00702;-0,00716;0,0000;57,1;2015-01-12 11:41:46
Source Voltage;0,4500;0,4508;-0,2991;0,0000;0,0000;0,08072;0,0125;-0,01168;0,0125;-0,00593;0,0000;36,1;2015-01-12 11:41:47
Source Voltage;0,5000;0,5008;-0,2991;0,0000;0,0000;0,08072;0,01884;-0,01168;0,01884;-0,00447;0,0000;26,6;2015-01-12 11:41:47
Source Voltage;0,5500;0,5507;-0,2991;0,0000;0,0000;0,08072;0,02592;-0,01168;0,02592;-0,00278;0,0000;21,2;2015-01-12 11:41:48
Source Voltage;0,6000;0,6003;-0,2991;0,0000;0,0000;0,08072;0,03374;-0,01168;0,03374;-0,00086;0,0000;17,8;2015-01-12 11:41:48
