2015-01-12 08:57:27
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2994;-0,2994;-0,2994;0,0000;0,08072;-0,01734;-0,01734;-0,01734;-0,01734;0,0000;17,3;2015-01-12 08:57:28
Source Voltage;-0,2500;-0,2497;-0,2994;0,0000;0,0000;0,08072;-0,01727;-0,01734;-0,01727;-0,0173;0,0000;14,5;2015-01-12 08:57:29
Source Voltage;-0,2000;-0,1998;-0,2994;0,0000;0,0000;0,08072;-0,01722;-0,01734;-0,01722;-0,01727;0,0000;11,6;2015-01-12 08:57:29
Source Voltage;-0,1500;-0,1495;-0,2994;0,0000;0,0000;0,08072;-0,01709;-0,01734;-0,01709;-0,01723;0,0000;8,7;2015-01-12 08:57:30
Source Voltage;-0,1000;-0,0995;-0,2994;0,0000;0,0000;0,08072;-0,01691;-0,01734;-0,01691;-0,01717;0,0000;5,9;2015-01-12 08:57:30
Source Voltage;-0,0500;-0,0494;-0,2994;0,0000;0,0000;0,08072;-0,01672;-0,01734;-0,01672;-0,0171;0,0000;3;2015-01-12 08:57:31
Source Voltage;0,0000;0,0013;-0,2994;0,0000;0,0000;0,08072;-0,01652;-0,01734;-0,01652;-0,01702;0,0000;0,1;2015-01-12 08:57:32
Source Voltage;0,0500;0,0507;-0,2994;0,0000;0,0000;0,08072;-0,0162;-0,01734;-0,0162;-0,01692;0,0000;3,1;2015-01-12 08:57:32
Source Voltage;0,1000;0,1013;-0,2994;0,0000;0,0000;0,08072;-0,01578;-0,01734;-0,01578;-0,01679;0,0000;6,4;2015-01-12 08:57:33
Source Voltage;0,1500;0,1507;-0,2994;0,0000;0,0000;0,08072;-0,01524;-0,01734;-0,01524;-0,01664;0,0000;9,9;2015-01-12 08:57:33
Source Voltage;0,2000;0,2005;-0,2994;0,0000;0,0000;0,08072;-0,01446;-0,01734;-0,01446;-0,01644;0,0000;13,9;2015-01-12 08:57:34
Source Voltage;0,2500;0,2505;-0,2994;0,0000;0,0000;0,08072;-0,0134;-0,01734;-0,0134;-0,01619;0,0000;18,7;2015-01-12 08:57:35
Source Voltage;0,3000;0,3006;-0,2994;0,0000;0,0000;0,08072;-0,01188;-0,01734;-0,01188;-0,01586;0,0000;25,3;2015-01-12 08:57:35
Source Voltage;0,3500;0,3505;-0,2994;0,0000;0,0000;0,08072;-0,00989;-0,01734;-0,00989;-0,01543;0,0000;35,4;2015-01-12 08:57:36
Source Voltage;0,4000;0,4003;-0,2994;0,0000;0,0000;0,08072;-0,00724;-0,01734;-0,00724;-0,01488;0,0000;55,3;2015-01-12 08:57:36
Source Voltage;0,4500;0,4505;-0,2994;0,0000;0,0000;0,08072;-0,0039;-0,01734;-0,0039;-0,01419;0,0000;115,5;2015-01-12 08:57:37
Source Voltage;0,5000;0,5002;-0,2994;0,0000;0,0000;0,08072;0,00022;-0,01734;0,00022;-0,01334;0,0000;2273,6;2015-01-12 08:57:38
Source Voltage;0,5500;0,5510;-0,2994;0,0000;0,0000;0,08072;0,00492;-0,01734;0,00492;-0,01233;0,0000;112;2015-01-12 08:57:38
Source Voltage;0,6000;0,6002;-0,2994;0,0000;0,0000;0,08072;0,01;-0,01734;0,01;-0,01115;0,0000;60;2015-01-12 08:57:39
