2015-01-12 09:45:01
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,01378;-0,01378;-0,01378;-0,01378;0,0000;21,7;2015-01-12 09:45:02
Source Voltage;-0,2500;-0,2491;-0,2993;0,0000;0,0000;0,08072;-0,01368;-0,01378;-0,01368;-0,01373;0,0000;18,2;2015-01-12 09:45:03
Source Voltage;-0,2000;-0,1995;-0,2993;0,0000;0,0000;0,08072;-0,0136;-0,01378;-0,0136;-0,01369;0,0000;14,7;2015-01-12 09:45:03
Source Voltage;-0,1500;-0,1490;-0,2993;0,0000;0,0000;0,08072;-0,01354;-0,01378;-0,01354;-0,01365;0,0000;11;2015-01-12 09:45:04
Source Voltage;-0,1000;-0,0986;-0,2993;0,0000;0,0000;0,08072;-0,01348;-0,01378;-0,01348;-0,01362;0,0000;7,3;2015-01-12 09:45:04
Source Voltage;-0,0500;-0,0493;-0,2993;0,0000;0,0000;0,08072;-0,01338;-0,01378;-0,01338;-0,01358;0,0000;3,7;2015-01-12 09:45:05
Source Voltage;0,0000;0,0009;-0,2993;0,0000;0,0000;0,08072;-0,01326;-0,01378;-0,01326;-0,01353;0,0000;0,1;2015-01-12 09:45:06
Source Voltage;0,0500;0,0511;-0,2993;0,0000;0,0000;0,08072;-0,0131;-0,01378;-0,0131;-0,01348;0,0000;3,9;2015-01-12 09:45:06
Source Voltage;0,1000;0,1010;-0,2993;0,0000;0,0000;0,08072;-0,01298;-0,01378;-0,01298;-0,01342;0,0000;7,8;2015-01-12 09:45:07
Source Voltage;0,1500;0,1506;-0,2993;0,0000;0,0000;0,08072;-0,01276;-0,01378;-0,01276;-0,01335;0,0000;11,8;2015-01-12 09:45:08
Source Voltage;0,2000;0,2007;-0,2993;0,0000;0,0000;0,08072;-0,01242;-0,01378;-0,01242;-0,01327;0,0000;16,2;2015-01-12 09:45:08
Source Voltage;0,2500;0,2505;-0,2993;0,0000;0,0000;0,08072;-0,0119;-0,01378;-0,0119;-0,01316;0,0000;21,1;2015-01-12 09:45:09
Source Voltage;0,3000;0,3008;-0,2993;0,0000;0,0000;0,08072;-0,01092;-0,01378;-0,01092;-0,01299;0,0000;27,5;2015-01-12 09:45:09
Source Voltage;0,3500;0,3507;-0,2993;0,0000;0,0000;0,08072;-0,00934;-0,01378;-0,00934;-0,01273;0,0000;37,5;2015-01-12 09:45:10
Source Voltage;0,4000;0,4009;-0,2993;0,0000;0,0000;0,08072;-0,0068;-0,01378;-0,0068;-0,01233;0,0000;59;2015-01-12 09:45:11
Source Voltage;0,4500;0,4504;-0,2993;0,0000;0,0000;0,08072;-0,00294;-0,01378;-0,00294;-0,01174;0,0000;153,2;2015-01-12 09:45:11
Source Voltage;0,5000;0,5004;-0,2993;0,0000;0,0000;0,08072;0,00242;-0,01378;0,00242;-0,01091;0,0000;206,8;2015-01-12 09:45:12
Source Voltage;0,5500;0,5502;-0,2993;0,0000;0,0000;0,08072;0,00952;-0,01378;0,00952;-0,00977;0,0000;57,8;2015-01-12 09:45:12
Source Voltage;0,6000;0,6003;-0,2993;0,0000;0,0000;0,08072;0,01809;-0,01378;0,01809;-0,0083;0,0000;33,2;2015-01-12 09:45:13
