2015-01-12 08:49:16
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2997;-0,2997;-0,2997;0,0000;0,08072;-0,01088;-0,01088;-0,01088;-0,01088;0,0000;27,5;2015-01-12 08:49:17
Source Voltage;-0,2500;-0,2496;-0,2997;0,0000;0,0000;0,08072;-0,01062;-0,01088;-0,01062;-0,01075;0,0000;23,5;2015-01-12 08:49:17
Source Voltage;-0,2000;-0,1998;-0,2997;0,0000;0,0000;0,08072;-0,01038;-0,01088;-0,01038;-0,01063;0,0000;19,2;2015-01-12 08:49:18
Source Voltage;-0,1500;-0,1495;-0,2997;0,0000;0,0000;0,08072;-0,01008;-0,01088;-0,01008;-0,01049;0,0000;14,8;2015-01-12 08:49:19
Source Voltage;-0,1000;-0,0997;-0,2997;0,0000;0,0000;0,08072;-0,0098;-0,01088;-0,0098;-0,01035;0,0000;10,2;2015-01-12 08:49:19
Source Voltage;-0,0500;-0,0491;-0,2997;0,0000;0,0000;0,08072;-0,00947;-0,01088;-0,00947;-0,0102;0,0000;5,2;2015-01-12 08:49:20
Source Voltage;0,0000;0,0009;-0,2997;0,0000;0,0000;0,08072;-0,00908;-0,01088;-0,00908;-0,01004;0,0000;0,1;2015-01-12 08:49:20
Source Voltage;0,0500;0,0505;-0,2997;0,0000;0,0000;0,08072;-0,00858;-0,01088;-0,00858;-0,00986;0,0000;5,9;2015-01-12 08:49:21
Source Voltage;0,1000;0,1005;-0,2997;0,0000;0,0000;0,08072;-0,00796;-0,01088;-0,00796;-0,00965;0,0000;12,6;2015-01-12 08:49:22
Source Voltage;0,1500;0,1505;-0,2997;0,0000;0,0000;0,08072;-0,00704;-0,01088;-0,00704;-0,00939;0,0000;21,4;2015-01-12 08:49:22
Source Voltage;0,2000;0,2004;-0,2997;0,0000;0,0000;0,08072;-0,00566;-0,01088;-0,00566;-0,00905;0,0000;35,4;2015-01-12 08:49:23
Source Voltage;0,2500;0,2504;-0,2997;0,0000;0,0000;0,08072;-0,00368;-0,01088;-0,00368;-0,0086;0,0000;68;2015-01-12 08:49:23
Source Voltage;0,3000;0,3006;-0,2997;0,0000;0,0000;0,08072;-0,00096;-0,01088;-0,00096;-0,00801;0,0000;313,1;2015-01-12 08:49:24
Source Voltage;0,3500;0,3503;-0,2997;0,0000;0,0000;0,08072;0,00264;-0,01088;0,00264;-0,00725;0,0000;132,7;2015-01-12 08:49:25
Source Voltage;0,4000;0,4003;-0,2997;0,0000;0,0000;0,08072;0,00724;-0,01088;0,00724;-0,00628;0,0000;55,3;2015-01-12 08:49:25
Source Voltage;0,4500;0,4500;-0,2997;0,0000;0,0000;0,08072;0,01276;-0,01088;0,01276;-0,00509;0,0000;35,3;2015-01-12 08:49:26
Source Voltage;0,5000;0,5001;-0,2997;0,0000;0,0000;0,08072;0,01922;-0,01088;0,01922;-0,00366;0,0000;26;2015-01-12 08:49:26
Source Voltage;0,5500;0,5500;-0,2997;0,0000;0,0000;0,08072;0,02658;-0,01088;0,02658;-0,00198;0,0000;20,7;2015-01-12 08:49:27
Source Voltage;0,6000;0,6003;-0,2997;0,0000;0,0000;0,08072;0,03474;-0,01088;0,03474;-5E-05;0,0000;17,3;2015-01-12 08:49:28
