2015-01-12 11:27:45
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,01734;-0,01734;-0,01734;-0,01734;0,0000;17,3;2015-01-12 11:27:45
Source Voltage;-0,2500;-0,2491;-0,2993;0,0000;0,0000;0,08072;-0,01728;-0,01734;-0,01728;-0,01731;0,0000;14,4;2015-01-12 11:27:46
Source Voltage;-0,2000;-0,1994;-0,2993;0,0000;0,0000;0,08072;-0,0172;-0,01734;-0,0172;-0,01727;0,0000;11,6;2015-01-12 11:27:46
Source Voltage;-0,1500;-0,1493;-0,2993;0,0000;0,0000;0,08072;-0,01714;-0,01734;-0,01714;-0,01724;0,0000;8,7;2015-01-12 11:27:47
Source Voltage;-0,1000;-0,0989;-0,2993;0,0000;0,0000;0,08072;-0,0171;-0,01734;-0,0171;-0,01721;0,0000;5,8;2015-01-12 11:27:48
Source Voltage;-0,0500;-0,0491;-0,2993;0,0000;0,0000;0,08072;-0,01696;-0,01734;-0,01696;-0,01717;0,0000;2,9;2015-01-12 11:27:48
Source Voltage;0,0000;0,0010;-0,2993;0,0000;0,0000;0,08072;-0,0169;-0,01734;-0,0169;-0,01713;0,0000;0,1;2015-01-12 11:27:49
Source Voltage;0,0500;0,0511;-0,2993;0,0000;0,0000;0,08072;-0,01674;-0,01734;-0,01674;-0,01708;0,0000;3,1;2015-01-12 11:27:49
Source Voltage;0,1000;0,1010;-0,2993;0,0000;0,0000;0,08072;-0,01656;-0,01734;-0,01656;-0,01702;0,0000;6,1;2015-01-12 11:27:50
Source Voltage;0,1500;0,1509;-0,2993;0,0000;0,0000;0,08072;-0,01627;-0,01734;-0,01627;-0,01694;0,0000;9,3;2015-01-12 11:27:51
Source Voltage;0,2000;0,2010;-0,2993;0,0000;0,0000;0,08072;-0,01584;-0,01734;-0,01584;-0,01684;0,0000;12,7;2015-01-12 11:27:51
Source Voltage;0,2500;0,2511;-0,2993;0,0000;0,0000;0,08072;-0,01518;-0,01734;-0,01518;-0,0167;0,0000;16,5;2015-01-12 11:27:52
Source Voltage;0,3000;0,3011;-0,2993;0,0000;0,0000;0,08072;-0,01422;-0,01734;-0,01422;-0,01651;0,0000;21,2;2015-01-12 11:27:52
Source Voltage;0,3500;0,3509;-0,2993;0,0000;0,0000;0,08072;-0,01266;-0,01734;-0,01266;-0,01624;0,0000;27,7;2015-01-12 11:27:53
Source Voltage;0,4000;0,4016;-0,2993;0,0000;0,0000;0,08072;-0,01042;-0,01734;-0,01042;-0,01585;0,0000;38,5;2015-01-12 11:27:54
Source Voltage;0,4500;0,4510;-0,2993;0,0000;0,0000;0,08072;-0,0072;-0,01734;-0,0072;-0,01531;0,0000;62,6;2015-01-12 11:27:54
Source Voltage;0,5000;0,5006;-0,2993;0,0000;0,0000;0,08072;-0,00296;-0,01734;-0,00296;-0,01458;0,0000;169,1;2015-01-12 11:27:55
Source Voltage;0,5500;0,5507;-0,2993;0,0000;0,0000;0,08072;0,00216;-0,01734;0,00216;-0,01365;0,0000;255;2015-01-12 11:27:56
Source Voltage;0,6000;0,6007;-0,2993;0,0000;0,0000;0,08072;0,00784;-0,01734;0,00784;-0,01252;0,0000;76,6;2015-01-12 11:27:56
