2015-01-12 08:42:34
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,01074;-0,01074;-0,01074;-0,01074;0,0000;27,9;2015-01-12 08:42:35
Source Voltage;-0,2500;-0,2498;-0,2992;0,0000;0,0000;0,08072;-0,01062;-0,01074;-0,01062;-0,01068;0,0000;23,5;2015-01-12 08:42:35
Source Voltage;-0,2000;-0,1994;-0,2992;0,0000;0,0000;0,08072;-0,01046;-0,01074;-0,01046;-0,01061;0,0000;19,1;2015-01-12 08:42:36
Source Voltage;-0,1500;-0,1495;-0,2992;0,0000;0,0000;0,08072;-0,01028;-0,01074;-0,01028;-0,01053;0,0000;14,5;2015-01-12 08:42:37
Source Voltage;-0,1000;-0,0992;-0,2992;0,0000;0,0000;0,08072;-0,01012;-0,01074;-0,01012;-0,01045;0,0000;9,8;2015-01-12 08:42:37
Source Voltage;-0,0500;-0,0496;-0,2992;0,0000;0,0000;0,08072;-0,00984;-0,01074;-0,00984;-0,01035;0,0000;5;2015-01-12 08:42:38
Source Voltage;0,0000;0,0005;-0,2992;0,0000;0,0000;0,08072;-0,00948;-0,01074;-0,00948;-0,01023;0,0000;0,1;2015-01-12 08:42:39
Source Voltage;0,0500;0,0505;-0,2992;0,0000;0,0000;0,08072;-0,00906;-0,01074;-0,00906;-0,01008;0,0000;5,6;2015-01-12 08:42:39
Source Voltage;0,1000;0,1006;-0,2992;0,0000;0,0000;0,08072;-0,00838;-0,01074;-0,00838;-0,00989;0,0000;12;2015-01-12 08:42:40
Source Voltage;0,1500;0,1503;-0,2992;0,0000;0,0000;0,08072;-0,00732;-0,01074;-0,00732;-0,00963;0,0000;20,5;2015-01-12 08:42:40
Source Voltage;0,2000;0,2004;-0,2992;0,0000;0,0000;0,08072;-0,00584;-0,01074;-0,00584;-0,00929;0,0000;34,3;2015-01-12 08:42:41
Source Voltage;0,2500;0,2503;-0,2992;0,0000;0,0000;0,08072;-0,0037;-0,01074;-0,0037;-0,00882;0,0000;67,6;2015-01-12 08:42:42
Source Voltage;0,3000;0,3004;-0,2992;0,0000;0,0000;0,08072;-0,00074;-0,01074;-0,00074;-0,0082;0,0000;405,9;2015-01-12 08:42:42
Source Voltage;0,3500;0,3505;-0,2992;0,0000;0,0000;0,08072;0,00312;-0,01074;0,00312;-0,00739;0,0000;112,3;2015-01-12 08:42:43
Source Voltage;0,4000;0,4001;-0,2992;0,0000;0,0000;0,08072;0,008;-0,01074;0,008;-0,00636;0,0000;50;2015-01-12 08:42:43
Source Voltage;0,4500;0,4503;-0,2992;0,0000;0,0000;0,08072;0,01384;-0,01074;0,01384;-0,0051;0,0000;32,5;2015-01-12 08:42:44
Source Voltage;0,5000;0,5001;-0,2992;0,0000;0,0000;0,08072;0,02058;-0,01074;0,02058;-0,00359;0,0000;24,3;2015-01-12 08:42:45
Source Voltage;0,5500;0,5503;-0,2992;0,0000;0,0000;0,08072;0,02808;-0,01074;0,02808;-0,00183;0,0000;19,6;2015-01-12 08:42:45
Source Voltage;0,6000;0,6003;-0,2992;0,0000;0,0000;0,08072;0,03615;-0,01074;0,03615;0,00017;0,0000;16,6;2015-01-12 08:42:46
