2015-01-12 11:55:39
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2992;-0,2992;-0,2992;0,0000;0,08072;-0,01408;-0,01408;-0,01408;-0,01408;0,0000;21,3;2015-01-12 11:55:40
Source Voltage;-0,2500;-0,2493;-0,2992;0,0000;0,0000;0,08072;-0,01398;-0,01408;-0,01398;-0,01403;0,0000;17,8;2015-01-12 11:55:41
Source Voltage;-0,2000;-0,1994;-0,2992;0,0000;0,0000;0,08072;-0,01386;-0,01408;-0,01386;-0,01397;0,0000;14,4;2015-01-12 11:55:41
Source Voltage;-0,1500;-0,1488;-0,2992;0,0000;0,0000;0,08072;-0,01372;-0,01408;-0,01372;-0,01391;0,0000;10,8;2015-01-12 11:55:42
Source Voltage;-0,1000;-0,0990;-0,2992;0,0000;0,0000;0,08072;-0,01362;-0,01408;-0,01362;-0,01385;0,0000;7,3;2015-01-12 11:55:42
Source Voltage;-0,0500;-0,0483;-0,2992;0,0000;0,0000;0,08072;-0,01346;-0,01408;-0,01346;-0,01378;0,0000;3,6;2015-01-12 11:55:43
Source Voltage;0,0000;0,0012;-0,2992;0,0000;0,0000;0,08072;-0,01324;-0,01408;-0,01324;-0,0137;0,0000;0,1;2015-01-12 11:55:44
Source Voltage;0,0500;0,0510;-0,2992;0,0000;0,0000;0,08072;-0,01304;-0,01408;-0,01304;-0,01362;0,0000;3,9;2015-01-12 11:55:44
Source Voltage;0,1000;0,1009;-0,2992;0,0000;0,0000;0,08072;-0,01274;-0,01408;-0,01274;-0,01352;0,0000;7,9;2015-01-12 11:55:45
Source Voltage;0,1500;0,1512;-0,2992;0,0000;0,0000;0,08072;-0,01232;-0,01408;-0,01232;-0,0134;0,0000;12,3;2015-01-12 11:55:45
Source Voltage;0,2000;0,2004;-0,2992;0,0000;0,0000;0,08072;-0,01172;-0,01408;-0,01172;-0,01325;0,0000;17,1;2015-01-12 11:55:46
Source Voltage;0,2500;0,2510;-0,2992;0,0000;0,0000;0,08072;-0,01076;-0,01408;-0,01076;-0,01304;0,0000;23,3;2015-01-12 11:55:47
Source Voltage;0,3000;0,3011;-0,2992;0,0000;0,0000;0,08072;-0,00936;-0,01408;-0,00936;-0,01276;0,0000;32,2;2015-01-12 11:55:47
Source Voltage;0,3500;0,3510;-0,2992;0,0000;0,0000;0,08072;-0,00718;-0,01408;-0,00718;-0,01236;0,0000;48,9;2015-01-12 11:55:48
Source Voltage;0,4000;0,4006;-0,2992;0,0000;0,0000;0,08072;-0,00406;-0,01408;-0,00406;-0,01181;0,0000;98,7;2015-01-12 11:55:48
Source Voltage;0,4500;0,4511;-0,2992;0,0000;0,0000;0,08072;0,00036;-0,01408;0,00036;-0,01105;0,0000;1253,1;2015-01-12 11:55:49
Source Voltage;0,5000;0,5005;-0,2992;0,0000;0,0000;0,08072;0,00626;-0,01408;0,00626;-0,01003;0,0000;80;2015-01-12 11:55:50
Source Voltage;0,5500;0,5510;-0,2992;0,0000;0,0000;0,08072;0,01392;-0,01408;0,01392;-0,0087;0,0000;39,6;2015-01-12 11:55:50
Source Voltage;0,6000;0,6003;-0,2992;0,0000;0,0000;0,08072;0,02446;-0,01408;0,02446;-0,00695;0,0000;24,5;2015-01-12 11:55:51
