2015-01-12 11:59:20
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2991;-0,2991;-0,2991;0,0000;0,08072;-0,01838;-0,01838;-0,01838;-0,01838;0,0000;16,3;2015-01-12 11:59:21
Source Voltage;-0,2500;-0,2493;-0,2991;0,0000;0,0000;0,08072;-0,01832;-0,01838;-0,01832;-0,01835;0,0000;13,6;2015-01-12 11:59:22
Source Voltage;-0,2000;-0,1992;-0,2991;0,0000;0,0000;0,08072;-0,01827;-0,01838;-0,01827;-0,01832;0,0000;10,9;2015-01-12 11:59:22
Source Voltage;-0,1500;-0,1486;-0,2991;0,0000;0,0000;0,08072;-0,01822;-0,01838;-0,01822;-0,01829;0,0000;8,2;2015-01-12 11:59:23
Source Voltage;-0,1000;-0,0990;-0,2991;0,0000;0,0000;0,08072;-0,01818;-0,01838;-0,01818;-0,01827;0,0000;5,4;2015-01-12 11:59:23
Source Voltage;-0,0500;-0,0488;-0,2991;0,0000;0,0000;0,08072;-0,0181;-0,01838;-0,0181;-0,01824;0,0000;2,7;2015-01-12 11:59:24
Source Voltage;0,0000;0,0012;-0,2991;0,0000;0,0000;0,08072;-0,018;-0,01838;-0,018;-0,01821;0,0000;0,1;2015-01-12 11:59:25
Source Voltage;0,0500;0,0513;-0,2991;0,0000;0,0000;0,08072;-0,0179;-0,01838;-0,0179;-0,01817;0,0000;2,9;2015-01-12 11:59:25
Source Voltage;0,1000;0,1011;-0,2991;0,0000;0,0000;0,08072;-0,01772;-0,01838;-0,01772;-0,01812;0,0000;5,7;2015-01-12 11:59:26
Source Voltage;0,1500;0,1513;-0,2991;0,0000;0,0000;0,08072;-0,01748;-0,01838;-0,01748;-0,01806;0,0000;8,7;2015-01-12 11:59:26
Source Voltage;0,2000;0,2010;-0,2991;0,0000;0,0000;0,08072;-0,01712;-0,01838;-0,01712;-0,01797;0,0000;11,7;2015-01-12 11:59:27
Source Voltage;0,2500;0,2510;-0,2991;0,0000;0,0000;0,08072;-0,01652;-0,01838;-0,01652;-0,01785;0,0000;15,2;2015-01-12 11:59:28
Source Voltage;0,3000;0,3016;-0,2991;0,0000;0,0000;0,08072;-0,01556;-0,01838;-0,01556;-0,01767;0,0000;19,4;2015-01-12 11:59:28
Source Voltage;0,3500;0,3511;-0,2991;0,0000;0,0000;0,08072;-0,01394;-0,01838;-0,01394;-0,0174;0,0000;25,2;2015-01-12 11:59:29
Source Voltage;0,4000;0,4008;-0,2991;0,0000;0,0000;0,08072;-0,0114;-0,01838;-0,0114;-0,017;0,0000;35,2;2015-01-12 11:59:29
Source Voltage;0,4500;0,4508;-0,2991;0,0000;0,0000;0,08072;-0,00764;-0,01838;-0,00764;-0,01642;0,0000;59;2015-01-12 11:59:30
Source Voltage;0,5000;0,5013;-0,2991;0,0000;0,0000;0,08072;-0,00258;-0,01838;-0,00258;-0,01561;0,0000;194,3;2015-01-12 11:59:31
Source Voltage;0,5500;0,5508;-0,2991;0,0000;0,0000;0,08072;0,00374;-0,01838;0,00374;-0,01454;0,0000;147,3;2015-01-12 11:59:31
Source Voltage;0,6000;0,6006;-0,2991;0,0000;0,0000;0,08072;0,0109;-0,01838;0,0109;-0,0132;0,0000;55,1;2015-01-12 11:59:32
