2015-01-12 11:40:38
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,00956;-0,00956;-0,00956;-0,00956;0,0000;31,3;2015-01-12 11:40:38
Source Voltage;-0,2500;-0,2493;-0,2990;0,0000;0,0000;0,08072;-0,00936;-0,00956;-0,00936;-0,00946;0,0000;26,6;2015-01-12 11:40:39
Source Voltage;-0,2000;-0,1997;-0,2990;0,0000;0,0000;0,08072;-0,00916;-0,00956;-0,00916;-0,00936;0,0000;21,8;2015-01-12 11:40:39
Source Voltage;-0,1500;-0,1492;-0,2990;0,0000;0,0000;0,08072;-0,00892;-0,00956;-0,00892;-0,00925;0,0000;16,7;2015-01-12 11:40:40
Source Voltage;-0,1000;-0,0989;-0,2990;0,0000;0,0000;0,08072;-0,00871;-0,00956;-0,00871;-0,00914;0,0000;11,4;2015-01-12 11:40:41
Source Voltage;-0,0500;-0,0487;-0,2990;0,0000;0,0000;0,08072;-0,0084;-0,00956;-0,0084;-0,00902;0,0000;5,8;2015-01-12 11:40:41
Source Voltage;0,0000;0,0012;-0,2990;0,0000;0,0000;0,08072;-0,00802;-0,00956;-0,00802;-0,00888;0,0000;0,1;2015-01-12 11:40:42
Source Voltage;0,0500;0,0509;-0,2990;0,0000;0,0000;0,08072;-0,00758;-0,00956;-0,00758;-0,00872;0,0000;6,7;2015-01-12 11:40:42
Source Voltage;0,1000;0,1013;-0,2990;0,0000;0,0000;0,08072;-0,00694;-0,00956;-0,00694;-0,00852;0,0000;14,6;2015-01-12 11:40:43
Source Voltage;0,1500;0,1509;-0,2990;0,0000;0,0000;0,08072;-0,00606;-0,00956;-0,00606;-0,00827;0,0000;24,9;2015-01-12 11:40:44
Source Voltage;0,2000;0,2009;-0,2990;0,0000;0,0000;0,08072;-0,00478;-0,00956;-0,00478;-0,00795;0,0000;42;2015-01-12 11:40:44
Source Voltage;0,2500;0,2508;-0,2990;0,0000;0,0000;0,08072;-0,003;-0,00956;-0,003;-0,00754;0,0000;83,6;2015-01-12 11:40:45
Source Voltage;0,3000;0,3011;-0,2990;0,0000;0,0000;0,08072;-0,00052;-0,00956;-0,00052;-0,007;0,0000;579;2015-01-12 11:40:45
Source Voltage;0,3500;0,3511;-0,2990;0,0000;0,0000;0,08072;0,00276;-0,00956;0,00276;-0,0063;0,0000;127,2;2015-01-12 11:40:46
Source Voltage;0,4000;0,4010;-0,2990;0,0000;0,0000;0,08072;0,00708;-0,00956;0,00708;-0,00541;0,0000;56,6;2015-01-12 11:40:47
Source Voltage;0,4500;0,4506;-0,2990;0,0000;0,0000;0,08072;0,01248;-0,00956;0,01248;-0,00429;0,0000;36,1;2015-01-12 11:40:47
Source Voltage;0,5000;0,5007;-0,2990;0,0000;0,0000;0,08072;0,019;-0,00956;0,019;-0,00292;0,0000;26,4;2015-01-12 11:40:48
Source Voltage;0,5500;0,5506;-0,2990;0,0000;0,0000;0,08072;0,0265;-0,00956;0,0265;-0,00129;0,0000;20,8;2015-01-12 11:40:48
Source Voltage;0,6000;0,6003;-0,2990;0,0000;0,0000;0,08072;0,03494;-0,00956;0,03494;0,00062;0,0000;17,2;2015-01-12 11:40:49
