2015-01-12 08:44:11
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2998;-0,2998;-0,2998;0,0000;0,08072;-0,01406;-0,01406;-0,01406;-0,01406;0,0000;21,3;2015-01-12 08:44:12
Source Voltage;-0,2500;-0,2498;-0,2998;0,0000;0,0000;0,08072;-0,01396;-0,01406;-0,01396;-0,01401;0,0000;17,9;2015-01-12 08:44:12
Source Voltage;-0,2000;-0,1998;-0,2998;0,0000;0,0000;0,08072;-0,01384;-0,01406;-0,01384;-0,01395;0,0000;14,4;2015-01-12 08:44:13
Source Voltage;-0,1500;-0,1494;-0,2998;0,0000;0,0000;0,08072;-0,0137;-0,01406;-0,0137;-0,01389;0,0000;10,9;2015-01-12 08:44:14
Source Voltage;-0,1000;-0,0997;-0,2998;0,0000;0,0000;0,08072;-0,01354;-0,01406;-0,01354;-0,01382;0,0000;7,4;2015-01-12 08:44:14
Source Voltage;-0,0500;-0,0494;-0,2998;0,0000;0,0000;0,08072;-0,01332;-0,01406;-0,01332;-0,01374;0,0000;3,7;2015-01-12 08:44:15
Source Voltage;0,0000;0,0007;-0,2998;0,0000;0,0000;0,08072;-0,01308;-0,01406;-0,01308;-0,01365;0,0000;0,1;2015-01-12 08:44:15
Source Voltage;0,0500;0,0510;-0,2998;0,0000;0,0000;0,08072;-0,01278;-0,01406;-0,01278;-0,01354;0,0000;4;2015-01-12 08:44:16
Source Voltage;0,1000;0,1011;-0,2998;0,0000;0,0000;0,08072;-0,01236;-0,01406;-0,01236;-0,01341;0,0000;8,2;2015-01-12 08:44:17
Source Voltage;0,1500;0,1512;-0,2998;0,0000;0,0000;0,08072;-0,01178;-0,01406;-0,01178;-0,01325;0,0000;12,8;2015-01-12 08:44:17
Source Voltage;0,2000;0,2004;-0,2998;0,0000;0,0000;0,08072;-0,01094;-0,01406;-0,01094;-0,01304;0,0000;18,3;2015-01-12 08:44:18
Source Voltage;0,2500;0,2507;-0,2998;0,0000;0,0000;0,08072;-0,0098;-0,01406;-0,0098;-0,01277;0,0000;25,6;2015-01-12 08:44:18
Source Voltage;0,3000;0,3007;-0,2998;0,0000;0,0000;0,08072;-0,00818;-0,01406;-0,00818;-0,01242;0,0000;36,8;2015-01-12 08:44:19
Source Voltage;0,3500;0,3511;-0,2998;0,0000;0,0000;0,08072;-0,00592;-0,01406;-0,00592;-0,01196;0,0000;59,3;2015-01-12 08:44:20
Source Voltage;0,4000;0,4003;-0,2998;0,0000;0,0000;0,08072;-0,00296;-0,01406;-0,00296;-0,01136;0,0000;135,2;2015-01-12 08:44:20
Source Voltage;0,4500;0,4503;-0,2998;0,0000;0,0000;0,08072;0,0009;-0,01406;0,0009;-0,01059;0,0000;500,3;2015-01-12 08:44:21
Source Voltage;0,5000;0,5001;-0,2998;0,0000;0,0000;0,08072;0,00572;-0,01406;0,00572;-0,00963;0,0000;87,4;2015-01-12 08:44:21
Source Voltage;0,5500;0,5502;-0,2998;0,0000;0,0000;0,08072;0,01136;-0,01406;0,01136;-0,00846;0,0000;48,4;2015-01-12 08:44:22
Source Voltage;0,6000;0,6000;-0,2998;0,0000;0,0000;0,08072;0,0177;-0,01406;0,0177;-0,00708;0,0000;33,9;2015-01-12 08:44:23
