2015-01-12 09:26:44
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2997;-0,2997;-0,2997;0,0000;0,08072;-0,01006;-0,01006;-0,01006;-0,01006;0,0000;29,8;2015-01-12 09:26:44
Source Voltage;-0,2500;-0,2495;-0,2997;0,0000;0,0000;0,08072;-0,00982;-0,01006;-0,00982;-0,00994;0,0000;25,4;2015-01-12 09:26:45
Source Voltage;-0,2000;-0,1997;-0,2997;0,0000;0,0000;0,08072;-0,0096;-0,01006;-0,0096;-0,00983;0,0000;20,8;2015-01-12 09:26:45
Source Voltage;-0,1500;-0,1496;-0,2997;0,0000;0,0000;0,08072;-0,0093;-0,01006;-0,0093;-0,0097;0,0000;16,1;2015-01-12 09:26:46
Source Voltage;-0,1000;-0,0994;-0,2997;0,0000;0,0000;0,08072;-0,00894;-0,01006;-0,00894;-0,00955;0,0000;11,1;2015-01-12 09:26:47
Source Voltage;-0,0500;-0,0493;-0,2997;0,0000;0,0000;0,08072;-0,00852;-0,01006;-0,00852;-0,00938;0,0000;5,8;2015-01-12 09:26:47
Source Voltage;0,0000;0,0008;-0,2997;0,0000;0,0000;0,08072;-0,00804;-0,01006;-0,00804;-0,00919;0,0000;0,1;2015-01-12 09:26:48
Source Voltage;0,0500;0,0511;-0,2997;0,0000;0,0000;0,08072;-0,00742;-0,01006;-0,00742;-0,00897;0,0000;6,9;2015-01-12 09:26:48
Source Voltage;0,1000;0,1006;-0,2997;0,0000;0,0000;0,08072;-0,0066;-0,01006;-0,0066;-0,00871;0,0000;15,2;2015-01-12 09:26:49
Source Voltage;0,1500;0,1506;-0,2997;0,0000;0,0000;0,08072;-0,00562;-0,01006;-0,00562;-0,0084;0,0000;26,8;2015-01-12 09:26:50
Source Voltage;0,2000;0,2009;-0,2997;0,0000;0,0000;0,08072;-0,00436;-0,01006;-0,00436;-0,00803;0,0000;46,1;2015-01-12 09:26:50
Source Voltage;0,2500;0,2507;-0,2997;0,0000;0,0000;0,08072;-0,00262;-0,01006;-0,00262;-0,00758;0,0000;95,7;2015-01-12 09:26:51
Source Voltage;0,3000;0,3006;-0,2997;0,0000;0,0000;0,08072;-0,0003;-0,01006;-0,0003;-0,00702;0,0000;1002;2015-01-12 09:26:52
Source Voltage;0,3500;0,3505;-0,2997;0,0000;0,0000;0,08072;0,00276;-0,01006;0,00276;-0,00632;0,0000;127;2015-01-12 09:26:52
Source Voltage;0,4000;0,4006;-0,2997;0,0000;0,0000;0,08072;0,00676;-0,01006;0,00676;-0,00545;0,0000;59,3;2015-01-12 09:26:53
Source Voltage;0,4500;0,4504;-0,2997;0,0000;0,0000;0,08072;0,0119;-0,01006;0,0119;-0,00437;0,0000;37,8;2015-01-12 09:26:53
Source Voltage;0,5000;0,5002;-0,2997;0,0000;0,0000;0,08072;0,01806;-0,01006;0,01806;-0,00305;0,0000;27,7;2015-01-12 09:26:54
Source Voltage;0,5500;0,5506;-0,2997;0,0000;0,0000;0,08072;0,02528;-0,01006;0,02528;-0,00148;0,0000;21,8;2015-01-12 09:26:55
Source Voltage;0,6000;0,6003;-0,2997;0,0000;0,0000;0,08072;0,03328;-0,01006;0,03328;0,00035;0,0000;18;2015-01-12 09:26:55
