2015-01-12 11:44:27
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,0154;-0,0154;-0,0154;-0,0154;0,0000;19,4;2015-01-12 11:44:28
Source Voltage;-0,2500;-0,2493;-0,2990;0,0000;0,0000;0,08072;-0,01526;-0,0154;-0,01526;-0,01533;0,0000;16,3;2015-01-12 11:44:28
Source Voltage;-0,2000;-0,1987;-0,2990;0,0000;0,0000;0,08072;-0,01506;-0,0154;-0,01506;-0,01524;0,0000;13,2;2015-01-12 11:44:29
Source Voltage;-0,1500;-0,1490;-0,2990;0,0000;0,0000;0,08072;-0,0149;-0,0154;-0,0149;-0,01515;0,0000;10;2015-01-12 11:44:30
Source Voltage;-0,1000;-0,0991;-0,2990;0,0000;0,0000;0,08072;-0,01466;-0,0154;-0,01466;-0,01505;0,0000;6,8;2015-01-12 11:44:30
Source Voltage;-0,0500;-0,0490;-0,2990;0,0000;0,0000;0,08072;-0,01444;-0,0154;-0,01444;-0,01495;0,0000;3,4;2015-01-12 11:44:31
Source Voltage;0,0000;0,0010;-0,2990;0,0000;0,0000;0,08072;-0,0141;-0,0154;-0,0141;-0,01483;0,0000;0,1;2015-01-12 11:44:32
Source Voltage;0,0500;0,0511;-0,2990;0,0000;0,0000;0,08072;-0,0137;-0,0154;-0,0137;-0,01469;0,0000;3,7;2015-01-12 11:44:32
Source Voltage;0,1000;0,1014;-0,2990;0,0000;0,0000;0,08072;-0,01314;-0,0154;-0,01314;-0,01452;0,0000;7,7;2015-01-12 11:44:33
Source Voltage;0,1500;0,1509;-0,2990;0,0000;0,0000;0,08072;-0,01244;-0,0154;-0,01244;-0,01431;0,0000;12,1;2015-01-12 11:44:33
Source Voltage;0,2000;0,2012;-0,2990;0,0000;0,0000;0,08072;-0,0115;-0,0154;-0,0115;-0,01405;0,0000;17,5;2015-01-12 11:44:34
Source Voltage;0,2500;0,2511;-0,2990;0,0000;0,0000;0,08072;-0,01026;-0,0154;-0,01026;-0,01373;0,0000;24,5;2015-01-12 11:44:35
Source Voltage;0,3000;0,3009;-0,2990;0,0000;0,0000;0,08072;-0,00858;-0,0154;-0,00858;-0,01333;0,0000;35,1;2015-01-12 11:44:35
Source Voltage;0,3500;0,3506;-0,2990;0,0000;0,0000;0,08072;-0,00654;-0,0154;-0,00654;-0,01284;0,0000;53,6;2015-01-12 11:44:36
Source Voltage;0,4000;0,4009;-0,2990;0,0000;0,0000;0,08072;-0,00386;-0,0154;-0,00386;-0,01224;0,0000;103,9;2015-01-12 11:44:36
Source Voltage;0,4500;0,4507;-0,2990;0,0000;0,0000;0,08072;-0,00044;-0,0154;-0,00044;-0,0115;0,0000;1024,3;2015-01-12 11:44:37
Source Voltage;0,5000;0,5005;-0,2990;0,0000;0,0000;0,08072;0,00384;-0,0154;0,00384;-0,0106;0,0000;130,3;2015-01-12 11:44:38
Source Voltage;0,5500;0,5514;-0,2990;0,0000;0,0000;0,08072;0,00911;-0,0154;0,00911;-0,0095;0,0000;60,5;2015-01-12 11:44:38
Source Voltage;0,6000;0,6004;-0,2990;0,0000;0,0000;0,08072;0,01526;-0,0154;0,01526;-0,0082;0,0000;39,3;2015-01-12 11:44:39
